model,cross_val_accuracy_avg,cross_val_accuracy_std,accuracy_score_test,target_variable,features_cat,features_num
"LogisticRegression(max_iter=200, random_state=0)",0.63,0.021,0.628,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['season'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.619,0.022,0.636,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['week'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.62,0.023,0.628,winner_home,"Index(['awayteam', 'hometeam', 'home_coach'], dtype='object')","Index([], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.639,0.021,0.628,winner_home,"Index(['awayteam', 'hometeam', 'away_coach'], dtype='object')","Index([], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.619,0.021,0.628,winner_home,"Index(['awayteam', 'hometeam', 'weather_type'], dtype='object')","Index([], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.622,0.012,0.632,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['temperature'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.63,0.011,0.632,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['humidity'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.634,0.017,0.632,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['wind'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.627,0.022,0.597,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['streak_away'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.622,0.027,0.628,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['pass_yds_MA_5_away'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.63,0.028,0.62,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['pass_td_MA_5_away'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.625,0.018,0.605,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['rush_yds_MA_5_away'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.634,0.023,0.62,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['rush_td_MA_5_away'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.622,0.028,0.628,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['rec_yds_MA_5_away'], dtype='object')"
"LogisticRegression(max_iter=200, random_state=0)",0.63,0.028,0.62,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['rec_td_MA_5_away'], dtype='object')"
