model,cross_val_accuracy_avg,cross_val_accuracy_std,accuracy_score_test,target_variable,features_cat,features_num,features
"LogisticRegression(max_iter=200, random_state=0)",0.6111,0.0237,0.624,winner_home,"Index(['awayteam', 'hometeam', 'location'], dtype='object')","Index(['dayofmonth', 'delta_day_home', 'season', 'kicks_return_yds_MA_5_away',
       'month', 'punt_return_yds_MA_5_home', 'kicks_return_td_MA_5_home',
       'rush_yds_MA_5_away', 'streak_away', 'interceptions_MA_5_away',
       'temperature', 'pass_td_MA_5_home', 'pass_yds_MA_5_home',
       'rush_td_MA_5_away', 'streak_home', 'rec_td_MA_5_home',
       'rush_yds_MA_5_home', 'pass_td_MA_5_away', 'interceptions_td_MA_5_home',
       'humidity', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'delta_day_home', 'season', 'kicks_return_yds_MA_5_away', 'month', 'punt_return_yds_MA_5_home', 'kicks_return_td_MA_5_home', 'rush_yds_MA_5_away', 'location', 'streak_away', 'interceptions_MA_5_away', 'temperature', 'pass_td_MA_5_home', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'streak_home', 'rec_td_MA_5_home', 'rush_yds_MA_5_home', 'pass_td_MA_5_away', 'interceptions_td_MA_5_home', 'humidity', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6373,0.03,0.6047,winner_home,"Index(['awayteam', 'hometeam', 'away_coach'], dtype='object')","Index(['rush_td_MA_5_away', 'streak_home', 'delta_day_home', 'season',
       'punt_return_yds_MA_5_home', 'fumbles_MA_5_away', 'pass_td_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'rush_td_MA_5_away', 'streak_home', 'away_coach', 'delta_day_home', 'season', 'punt_return_yds_MA_5_home', 'fumbles_MA_5_away', 'pass_td_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.6227,0.0138,0.6395,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['wind', 'defense_sacks_MA_5_home', 'interceptions_td_MA_5_away',
       'rec_yds_MA_5_away', 'rush_td_MA_5_home', 'humidity',
       'fumbles_MA_5_home', 'season', 'temperature', 'defense_td_MA_5_home',
       'fumbles_MA_5_away', 'kicking_pts_MA_5_home', 'week', 'delta_day_away'],
      dtype='object')","['awayteam', 'hometeam', 'wind', 'defense_sacks_MA_5_home', 'interceptions_td_MA_5_away', 'rec_yds_MA_5_away', 'rush_td_MA_5_home', 'humidity', 'fumbles_MA_5_home', 'season', 'temperature', 'defense_td_MA_5_home', 'fumbles_MA_5_away', 'kicking_pts_MA_5_home', 'week', 'delta_day_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6208,0.0196,0.6202,winner_home,"Index(['awayteam', 'hometeam', 'location', 'stade'], dtype='object')","Index(['delta_day_home', 'fumbles_rec_MA_5_away', 'punt_return_yds_MA_5_home',
       'rec_yds_MA_5_home', 'kicking_pts_MA_5_home', 'rush_yds_MA_5_away',
       'defense_sacks_MA_5_home', 'streak_away', 'interceptions_MA_5_away',
       'interceptions_td_MA_5_away', 'temperature',
       'kicks_return_td_MA_5_away', 'rec_td_MA_5_away', 'pass_yds_MA_5_home',
       'wind', 'rec_td_MA_5_home', 'fumbles_MA_5_home',
       'fumbles_rec_MA_5_home', 'humidity', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'delta_day_home', 'fumbles_rec_MA_5_away', 'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home', 'kicking_pts_MA_5_home', 'rush_yds_MA_5_away', 'location', 'defense_sacks_MA_5_home', 'streak_away', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'temperature', 'kicks_return_td_MA_5_away', 'rec_td_MA_5_away', 'pass_yds_MA_5_home', 'wind', 'rec_td_MA_5_home', 'fumbles_MA_5_home', 'fumbles_rec_MA_5_home', 'stade', 'humidity', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.5927,0.0315,0.6473,winner_home,"Index(['awayteam', 'hometeam', 'home_coach', 'location', 'weather_type',
       'stade'],
      dtype='object')","Index(['defense_td_MA_5_away', 'delta_day_home', 'fumbles_rec_MA_5_away',
       'interceptions_MA_5_home', 'month', 'punt_return_yds_MA_5_home',
       'rec_yds_MA_5_home', 'kicking_pts_MA_5_home',
       'kicks_return_td_MA_5_home', 'rush_yds_MA_5_away',
       'defense_sacks_MA_5_home', 'interceptions_MA_5_away',
       'interceptions_td_MA_5_away', 'rush_td_MA_5_home',
       'kicks_return_td_MA_5_away', 'rec_td_MA_5_away', 'pass_td_MA_5_home',
       'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'defense_sacks_MA_5_away',
       'rush_yds_MA_5_home', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'defense_td_MA_5_away', 'delta_day_home', 'home_coach', 'fumbles_rec_MA_5_away', 'interceptions_MA_5_home', 'month', 'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home', 'kicking_pts_MA_5_home', 'kicks_return_td_MA_5_home', 'rush_yds_MA_5_away', 'location', 'defense_sacks_MA_5_home', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'kicks_return_td_MA_5_away', 'rec_td_MA_5_away', 'pass_td_MA_5_home', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'defense_sacks_MA_5_away', 'rush_yds_MA_5_home', 'weather_type', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'stade']"
"LogisticRegression(max_iter=200, random_state=0)",0.6082,0.0201,0.6318,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'location'], dtype='object')","Index(['dayofmonth', 'defense_td_MA_5_away', 'delta_day_home',
       'fumbles_rec_MA_5_away', 'interceptions_MA_5_home', 'dayofweek',
       'month', 'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home',
       'kicking_pts_MA_5_home', 'delta_day_away', 'rush_yds_MA_5_away',
       'defense_sacks_MA_5_home', 'streak_away', 'interceptions_MA_5_away',
       'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'people',
       'pass_td_MA_5_home', 'rush_td_MA_5_away', 'rec_td_MA_5_home',
       'rush_yds_MA_5_home', 'pass_td_MA_5_away', 'interceptions_td_MA_5_home',
       'humidity'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'defense_td_MA_5_away', 'away_coach', 'delta_day_home', 'fumbles_rec_MA_5_away', 'interceptions_MA_5_home', 'dayofweek', 'month', 'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home', 'kicking_pts_MA_5_home', 'delta_day_away', 'rush_yds_MA_5_away', 'location', 'defense_sacks_MA_5_home', 'streak_away', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'people', 'pass_td_MA_5_home', 'rush_td_MA_5_away', 'rec_td_MA_5_home', 'rush_yds_MA_5_home', 'pass_td_MA_5_away', 'interceptions_td_MA_5_home', 'humidity']"
"LogisticRegression(max_iter=200, random_state=0)",0.6276,0.0201,0.6395,winner_home,"Index(['awayteam', 'hometeam', 'home_coach', 'location', 'away_coach'], dtype='object')","Index(['dayofmonth', 'pass_td_MA_5_home', 'interceptions_td_MA_5_home',
       'fumbles_rec_MA_5_away', 'wind', 'interceptions_td_MA_5_away',
       'kicking_pts_MA_5_home', 'dayofweek', 'delta_day_home',
       'kicks_return_yds_MA_5_home', 'temperature', 'month',
       'rec_td_MA_5_away', 'kicks_return_td_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'home_coach', 'location', 'pass_td_MA_5_home', 'interceptions_td_MA_5_home', 'fumbles_rec_MA_5_away', 'wind', 'interceptions_td_MA_5_away', 'kicking_pts_MA_5_home', 'away_coach', 'dayofweek', 'delta_day_home', 'kicks_return_yds_MA_5_home', 'temperature', 'month', 'rec_td_MA_5_away', 'kicks_return_td_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.6237,0.0099,0.5969,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['rush_td_MA_5_home', 'streak_away', 'interceptions_td_MA_5_home'], dtype='object')","['awayteam', 'hometeam', 'rush_td_MA_5_home', 'streak_away', 'interceptions_td_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.6227,0.0131,0.6279,winner_home,"Index(['awayteam', 'hometeam', 'stade'], dtype='object')","Index(['defense_td_MA_5_away', 'delta_day_home', 'fumbles_rec_MA_5_away',
       'interceptions_MA_5_home', 'dayofweek', 'rec_yds_MA_5_home',
       'defense_sacks_MA_5_home', 'streak_away', 'interceptions_td_MA_5_away',
       'punt_return_yds_MA_5_away', 'rec_td_MA_5_away', 'week', 'wind',
       'defense_sacks_MA_5_away', 'rec_td_MA_5_home', 'fumbles_MA_5_home',
       'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'humidity'],
      dtype='object')","['awayteam', 'hometeam', 'defense_td_MA_5_away', 'delta_day_home', 'fumbles_rec_MA_5_away', 'interceptions_MA_5_home', 'dayofweek', 'rec_yds_MA_5_home', 'defense_sacks_MA_5_home', 'streak_away', 'interceptions_td_MA_5_away', 'punt_return_yds_MA_5_away', 'rec_td_MA_5_away', 'week', 'wind', 'defense_sacks_MA_5_away', 'rec_td_MA_5_home', 'fumbles_MA_5_home', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'stade', 'humidity']"
"LogisticRegression(max_iter=200, random_state=0)",0.6208,0.0211,0.6318,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'location'], dtype='object')","Index(['dayofmonth', 'defense_td_MA_5_away', 'delta_day_home', 'season',
       'dayofweek', 'month', 'kicking_pts_MA_5_home', 'delta_day_away',
       'defense_sacks_MA_5_home', 'streak_away', 'interceptions_td_MA_5_away',
       'rush_td_MA_5_home', 'people', 'temperature',
       'kicks_return_td_MA_5_away', 'rec_td_MA_5_away', 'pass_td_MA_5_home',
       'week', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'wind',
       'defense_sacks_MA_5_away', 'streak_home', 'rush_yds_MA_5_home',
       'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home',
       'interceptions_td_MA_5_home', 'humidity'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'defense_td_MA_5_away', 'away_coach', 'delta_day_home', 'season', 'dayofweek', 'month', 'kicking_pts_MA_5_home', 'delta_day_away', 'location', 'defense_sacks_MA_5_home', 'streak_away', 'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'people', 'temperature', 'kicks_return_td_MA_5_away', 'rec_td_MA_5_away', 'pass_td_MA_5_home', 'week', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'wind', 'defense_sacks_MA_5_away', 'streak_home', 'rush_yds_MA_5_home', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'interceptions_td_MA_5_home', 'humidity']"
