,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
0,2022,5,2022-10-06,Colts,Broncos,Empower Field at Mile High,"Denver, CO",1,0.4868,0.5132
1,2022,5,2022-10-09,Giants,Packers,Tottenham Hotspur Stadium,London,1,0.1381,0.8619
2,2022,5,2022-10-09,Steelers,Bills,Highmark Stadium,"Orchard Park, NY",1,0.4714,0.5286
3,2022,5,2022-10-09,Chargers,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.5341,0.4659
4,2022,5,2022-10-09,Bears,Vikings,U.S. Bank Stadium,"Minneapolis, MN",1,0.3952,0.6048
5,2022,5,2022-10-09,Lions,Patriots,Gillette Stadium,"Foxboro, MA",1,0.2316,0.7684
6,2022,5,2022-10-09,Seahawks,Saints,Caesars Superdome,"New Orleans, LA",1,0.3148,0.6852
7,2022,5,2022-10-09,Dolphins,Jets,MetLife Stadium,"East Rutherford, NJ",1,0.4957,0.5043
8,2022,5,2022-10-09,Falcons,Buccaneers,Raymond James Stadium,"Tampa, FL",1,0.362,0.638
9,2022,5,2022-10-09,Titans,Washington,FedExField,"Landover, MD",0,0.6262,0.3738
10,2022,5,2022-10-09,Texans,Jaguars,TIAA Bank Field,"Jacksonville, FL",0,0.6805,0.3195
11,2022,5,2022-10-09,49ers,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.5966,0.4034
12,2022,5,2022-10-09,Cowboys,Rams,SoFi Stadium,"Inglewood, CA",1,0.3537,0.6463
13,2022,5,2022-10-09,Eagles,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.6326,0.3674
14,2022,5,2022-10-09,Bengals,Ravens,M&T Bank Stadium,"Baltimore, MD",1,0.1726,0.8274
15,2022,5,2022-10-10,Raiders,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",1,0.2751,0.7249
16,2022,6,2022-10-13,Washington,Bears,Soldier Field,"Chicago, IL",1,0.3481,0.6519
