,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location,weather_type,temperature,humidity,wind
0,2017,13,Vikings,Falcons,14,9,400951677,-5,0,1,Vikings,2017_13_Falcons_Vikings,Dan Quinn,Mike Zimmer,Home,cloudy,68,70,5
1,2017,9,Falcons,Panthers,17,20,400951749,3,1,0,Panthers,2017_09_Panthers_Falcons,Ron Rivera,Dan Quinn,Home,cloudy,61,86,4
2,2017,9,Bengals,Jaguars,7,23,400951753,16,1,0,Jaguars,2017_09_Jaguars_Bengals,Doug Marrone,Marvin Lewis,Home,cloudy,78,74,12
3,2017,4,Bears,Packers,14,35,400951678,21,1,0,Packers,2017_04_Packers_Bears,Mike McCarthy,John Fox,Home,cloudy,65,62,5
4,2017,9,Colts,Texans,20,14,400951751,-6,0,1,Colts,2017_09_Texans_Colts,Bill O'Brien,Chuck Pagano,Home,cloudy,84,62,10
5,2017,13,Steelers,Bengals,23,20,400951754,-3,0,1,Steelers,2017_13_Bengals_Steelers,Marvin Lewis,Mike Tomlin,Home,cloudy,68,61,5
6,2017,13,Eagles,Seahawks,10,24,400951746,14,1,0,Seahawks,2017_13_Seahawks_Eagles,Pete Carroll,Doug Pederson,Home,cloudy,44,78,3
7,2017,13,Rams,Cardinals,32,16,400951733,-16,0,1,Rams,2017_13_Cardinals_Rams,Bruce Arians,Sean McVay,Home,cloudy,68,70,5
8,2017,9,Cardinals,49ers,20,10,400951763,-10,0,1,Cardinals,2017_09_49ers_Cardinals,Kyle Shanahan,Bruce Arians,Home,sunny,61,48,8
9,2017,9,Washington,Seahawks,17,14,400951765,-3,0,1,Redskins,2017_09_Seahawks_Washington,Pete Carroll,Jay Gruden,Home,rain,36,86,11
10,2017,9,Chiefs,Cowboys,17,28,400951786,11,1,0,Cowboys,2017_09_Cowboys_Chiefs,Jason Garrett,Andy Reid,Home,cloudy,68,70,5
11,2017,13,Panthers,Saints,21,31,400951722,10,1,0,Saints,2017_13_Saints_Panthers,Sean Payton,Ron Rivera,Home,sunny,69,66,7
12,2017,13,Giants,Raiders,17,24,400951740,7,1,0,Raiders,2017_13_Raiders_Giants,Jack Del Rio,Ben McAdoo,Home,sunny,58,51,11
13,2017,13,Browns,Chargers,10,19,400951731,9,1,0,Chargers,2017_13_Chargers_Browns,Anthony Lynn,Hue Jackson,Home,sunny,68,63,7
14,2017,9,Raiders,Dolphins,27,24,400951787,-3,0,1,Raiders,2017_09_Dolphins_Raiders,Adam Gase,Jack Del Rio,Home,cloudy,77,82,2
