,idgame,date,stade,location,attendance,capacity,people,line,over_under,attendance_info,month,dayofmonth,dayofweek,hour,minute
0,401220225,2020-09-11 00:20:00+00:00,GEHA Field at Arrowhead Stadium,"Kansas City, MO",15895.0,72936,22.0,Over/Under: 53.0,,1,9,11,4,0,20
1,401220282,2020-09-13 17:00:00+00:00,Ford Field,"Detroit, MI",,64500,,Over/Under: 42.5,,0,9,13,6,17,0
2,401220116,2020-09-13 17:00:00+00:00,Highmark Stadium,"Orchard Park, NY",,71621,,Over/Under: 38.5,,0,9,13,6,17,0
3,401220313,2020-09-13 17:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",,75000,,Over/Under: 49.0,,0,9,13,6,17,0
4,401220370,2020-09-13 17:00:00+00:00,Bank of America Stadium,"Charlotte, NC",,73778,,Over/Under: 48.0,,0,9,13,6,17,0
5,401220268,2020-09-13 17:00:00+00:00,FedExField,"Landover, MD",,67617,,Over/Under: 41.5,,0,9,13,6,17,0
6,401220300,2020-09-13 17:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",,66468,,Over/Under: 44.5,,0,9,13,6,17,0
7,401220147,2020-09-13 17:00:00+00:00,M&T Bank Stadium,"Baltimore, MD",,70745,,Over/Under: 47.0,,0,9,13,6,17,0
8,401220161,2020-09-13 20:05:00+00:00,Paycor Stadium,"Cincinnati, OH",,65515,,Over/Under: 41.0,,0,9,13,6,20,5
9,401220195,2020-09-13 17:00:00+00:00,TIAA Bank Field,"Jacksonville, FL",14100.0,67858,21.0,Over/Under: 44.0,,1,9,13,6,17,0
10,401220369,2020-09-13 20:25:00+00:00,Caesars Superdome,"New Orleans, LA",,73000,,Over/Under: 48.0,,0,9,13,6,20,25
11,401220131,2020-09-13 17:00:00+00:00,Gillette Stadium,"Foxboro, MA",,65878,,Over/Under: 41.5,,0,9,13,6,17,0
12,401220256,2020-09-14 23:15:00+00:00,MetLife Stadium,"East Rutherford, NJ",,82500,,Over/Under: 44.0,,0,9,14,0,23,15
13,401220217,2020-09-15 02:10:00+00:00,Empower Field at Mile High,"Denver, CO",,76125,,Over/Under: 41.5,,0,9,15,1,2,10
14,401220352,2020-09-13 20:25:00+00:00,Levi's Stadium,"Santa Clara, CA",,68500,,Over/Under: 48.0,,0,9,13,6,20,25
15,400951566,2017-09-08 00:30:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,,,1,9,8,4,0,30
16,400951567,2017-09-10 17:00:00+00:00,Highmark Stadium,"Orchard Park, NY",68751.0,71621,96.0,,,1,9,10,6,17,0
17,400951570,2017-09-10 17:00:00+00:00,Soldier Field,"Chicago, IL",61857.0,61500,100.0,,,1,9,10,6,17,0
18,400951620,2017-09-15 00:25:00+00:00,Paycor Stadium,"Cincinnati, OH",52942.0,65515,81.0,,,1,9,15,4,0,25
19,401030710,2018-09-07 00:55:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69696.0,69879,100.0,,,1,9,7,4,0,55
20,400951576,2017-09-10 17:00:00+00:00,Ford Field,"Detroit, MI",60957.0,64500,95.0,,,1,9,10,6,17,0
21,400951574,2017-09-10 17:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431.0,67431,100.0,,,1,9,10,6,17,0
22,401128054,2019-09-13 00:20:00+00:00,Bank of America Stadium,"Charlotte, NC",71101.0,73778,96.0,,,1,9,13,4,0,20
23,400951572,2017-09-10 17:00:00+00:00,Paycor Stadium,"Cincinnati, OH",55254.0,65515,84.0,,,1,9,10,6,17,0
24,400951584,2017-09-10 17:00:00+00:00,Nissan Stadium,"Nashville, TN",69089.0,69143,100.0,,,1,9,10,6,17,0
25,401030718,2018-09-09 17:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431.0,67431,100.0,,,1,9,9,6,17,0
26,401030717,2018-09-09 17:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",58699.0,63000,93.0,,,1,9,9,6,17,0
27,401030716,2018-09-09 17:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",65184.0,64767,100.0,,,1,9,9,6,17,0
28,400951632,2017-09-17 17:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",63137.0,63000,100.0,,,1,9,17,6,17,0
29,400951636,2017-09-17 17:00:00+00:00,GEHA Field at Arrowhead Stadium,"Kansas City, MO",74971.0,72936,100.0,,,1,9,17,6,17,0
30,400951592,2017-09-10 17:00:00+00:00,FedExField,"Landover, MD",78685.0,67617,100.0,,,1,9,10,6,17,0
31,400951639,2017-09-17 17:00:00+00:00,Caesars Superdome,"New Orleans, LA",73168.0,73000,100.0,,,1,9,17,6,17,0
32,400951597,2017-09-10 20:05:00+00:00,Los Angeles Memorial Coliseum,"Los Angeles, CA",60128.0,77500,78.0,,,1,9,10,6,20,5
33,400951580,2017-09-10 17:00:00+00:00,NRG Stadium,"Houston, TX",71710.0,71995,100.0,,,1,9,10,6,17,0
34,401127913,2019-09-06 00:20:00+00:00,Soldier Field,"Chicago, IL",62435.0,61500,100.0,,,1,9,6,4,0,20
35,401128066,2019-09-15 17:00:00+00:00,Paycor Stadium,"Cincinnati, OH",50666.0,65515,77.0,,,1,9,15,6,17,0
36,400951645,2017-09-17 17:00:00+00:00,Raymond James Stadium,"Tampa, FL",56640.0,65828,86.0,,,1,9,17,6,17,0
37,401128098,2019-09-15 17:00:00+00:00,Lambeau Field,"Green Bay, WI",78416.0,81041,97.0,,,1,9,15,6,17,0
38,401128072,2019-09-15 17:00:00+00:00,Ford Field,"Detroit, MI",60158.0,64500,93.0,,,1,9,15,6,17,0
39,400951605,2017-09-10 20:25:00+00:00,Levi's Stadium,"Santa Clara, CA",70178.0,68500,100.0,,,1,9,10,6,20,25
40,401030715,2018-09-09 17:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",66673.0,66468,100.0,,,1,9,9,6,17,0
41,401326322,2021-09-10 00:20:00+00:00,Raymond James Stadium,"Tampa, FL",65566.0,65828,100.0,Line: TB -9.0,Over/Under: 52.5,1,9,10,4,0,20
42,401030714,2018-09-09 17:00:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,,,1,9,9,6,17,0
43,400951643,2017-09-17 17:00:00+00:00,Acrisure Stadium,"Pittsburgh, PA",65971.0,68400,96.0,,,1,9,17,6,17,0
44,400951630,2017-09-17 17:00:00+00:00,Bank of America Stadium,"Charlotte, NC",74122.0,73778,100.0,,,1,9,17,6,17,0
45,400951601,2017-09-10 20:25:00+00:00,Lambeau Field,"Green Bay, WI",78381.0,81041,97.0,,,1,9,10,6,20,25
46,400951608,2017-09-11 00:30:00+00:00,AT&T Stadium,"Arlington, TX",93183.0,100000,93.0,,,1,9,11,0,0,30
47,401127928,2019-09-08 17:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431.0,67431,100.0,,,1,9,8,6,17,0
48,401127954,2019-09-08 17:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",65012.0,64767,100.0,,,1,9,8,6,17,0
