,season,week,date,awayteam,hometeam,stadium,location
0,2022,5,2022-10-06,Colts,Broncos,Empower Field at Mile High,"Denver, CO"
1,2022,5,2022-10-09,Giants,Packers,Tottenham Hotspur Stadium,London
2,2022,5,2022-10-09,Steelers,Bills,Highmark Stadium,"Orchard Park, NY"
3,2022,5,2022-10-09,Chargers,Browns,FirstEnergy Stadium,"Cleveland, OH"
4,2022,5,2022-10-09,Bears,Vikings,U.S. Bank Stadium,"Minneapolis, MN"
5,2022,5,2022-10-09,Lions,Patriots,Gillette Stadium,"Foxboro, MA"
6,2022,5,2022-10-09,Seahawks,Saints,Caesars Superdome,"New Orleans, LA"
7,2022,5,2022-10-09,Dolphins,Jets,MetLife Stadium,"East Rutherford, NJ"
8,2022,5,2022-10-09,Falcons,Buccaneers,Raymond James Stadium,"Tampa, FL"
9,2022,5,2022-10-09,Titans,Commanders,FedExField,"Landover, MD"
10,2022,5,2022-10-09,Texans,Jaguars,TIAA Bank Field,"Jacksonville, FL"
11,2022,5,2022-10-09,49ers,Panthers,Bank of America Stadium,"Charlotte, NC"
12,2022,5,2022-10-09,Cowboys,Rams,SoFi Stadium,"Inglewood, CA"
13,2022,5,2022-10-09,Eagles,Cardinals,State Farm Stadium,"Glendale, AZ"
14,2022,5,2022-10-09,Bengals,Ravens,M&T Bank Stadium,"Baltimore, MD"
15,2022,5,2022-10-10,Raiders,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
16,2022,6,2022-10-13,Commanders,Bears,Soldier Field,"Chicago, IL"
17,2022,6,2022-10-16,49ers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA"
18,2022,6,2022-10-16,Patriots,Browns,FirstEnergy Stadium,"Cleveland, OH"
19,2022,6,2022-10-16,Jets,Packers,Lambeau Field,"Green Bay, WI"
20,2022,6,2022-10-16,Jaguars,Colts,Lucas Oil Stadium,"Indianapolis, IN"
21,2022,6,2022-10-16,Vikings,Dolphins,Hard Rock Stadium,"Miami Gardens, FL"
22,2022,6,2022-10-16,Bengals,Saints,Caesars Superdome,"New Orleans, LA"
23,2022,6,2022-10-16,Ravens,Giants,MetLife Stadium,"East Rutherford, NJ"
24,2022,6,2022-10-16,Buccaneers,Steelers,Acrisure Stadium,"Pittsburgh, PA"
25,2022,6,2022-10-16,Panthers,Rams,SoFi Stadium,"Inglewood, CA"
26,2022,6,2022-10-16,Cardinals,Seahawks,Lumen Field,"Seattle, WA"
27,2022,6,2022-10-16,Bills,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
28,2022,6,2022-10-16,Cowboys,Eagles,Lincoln Financial Field,"Philadelphia, PA"
29,2022,6,2022-10-17,Broncos,Chargers,SoFi Stadium,"Inglewood, CA"
30,2022,2,2022-09-15,Chargers,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
31,2022,2,2022-09-18,Jets,Browns,FirstEnergy Stadium,"Cleveland, OH"
32,2022,2,2022-09-18,Commanders,Lions,Ford Field,"Detroit, MI"
33,2022,2,2022-09-18,Buccaneers,Saints,Caesars Superdome,"New Orleans, LA"
34,2022,2,2022-09-18,Panthers,Giants,MetLife Stadium,"East Rutherford, NJ"
35,2022,2,2022-09-18,Patriots,Steelers,Acrisure Stadium,"Pittsburgh, PA"
36,2022,2,2022-09-18,Colts,Jaguars,TIAA Bank Field,"Jacksonville, FL"
37,2022,2,2022-09-18,Dolphins,Ravens,M&T Bank Stadium,"Baltimore, MD"
38,2022,2,2022-09-18,Falcons,Rams,SoFi Stadium,"Inglewood, CA"
39,2022,2,2022-09-18,Seahawks,49ers,Levi's Stadium,"Santa Clara, CA"
40,2022,2,2022-09-18,Bengals,Cowboys,AT&T Stadium,"Arlington, TX"
41,2022,2,2022-09-18,Texans,Broncos,Empower Field at Mile High,"Denver, CO"
