,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location_x,weather_type,temperature,humidity,wind,game_date,team,delta_match,pass_yds_MA_5,pass_td_MA_5,rush_yds_MA_5,rush_td_MA_5,rec_yds_MA_5,rec_td_MA_5,fumbles_MA_5,fumbles_rec_MA_5,defense_sacks_MA_5,defense_td_MA_5,interceptions_MA_5,interceptions_td_MA_5,kicks_return_yds_MA_5,kicks_return_td_MA_5,punt_return_yds_MA_5,kicking_pct_MA_5,date,stade,location_y,attendance,capacity,people,attendance_info,month,dayofmonth,dayofweek,hour,minute,win_streak,lose_streak
0,2017,9,Bengals,Jaguars,7,23,400951753,16,1,0,Jaguars,2017_09_Jaguars_Bengals,Doug Marrone,Marvin Lewis,Home,cloudy,78,74,12,2017-11-05 18:00:00+00:00,Bengals,7 days 01:00:00,241.8,2.2,78.0,0.2,241.8,2.2,2.2,0.0,3.6,0.4,0.8,0.4,39.0,0.0,31.2,60.0,2017-11-05 18:00:00+00:00,TIAA Bank Field,"Jacksonville, FL",60720.0,67858,89.0,1,11,5,6,18,0,0.0,1.0
4,2017,4,Bills,Falcons,23,17,400951685,-6,0,1,Bills,2017_04_Falcons_Bills,Dan Quinn,Sean McDermott,Home,cloudy,68,70,5,2017-10-01 17:00:00+00:00,Bills,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-10-01 17:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",71273.0,75000,95.0,1,10,1,6,17,0,2.0,0.0
8,2017,4,Saints,Dolphins,20,0,400950241,-20,0,1,Saints,2017_04_Dolphins_Saints,Adam Gase,Sean Payton,Neutral,cloudy,63,64,13,2017-10-01 13:30:00+00:00,Dolphins,6 days 20:30:00,,,,,,,,,,,,,,,,,2017-10-01 13:30:00+00:00,Wembley Stadium,London,84423.0,86000,98.0,1,10,1,6,13,30,0.0,2.0
12,2017,4,Bears,Packers,14,35,400951678,21,1,0,Packers,2017_04_Packers_Bears,Mike McCarthy,John Fox,Home,cloudy,65,62,5,2017-09-29 00:25:00+00:00,Bears,4 days 07:25:00,,,,,,,,,,,,,,,,,2017-09-29 00:25:00+00:00,Lambeau Field,"Green Bay, WI",78362.0,81041,97.0,1,9,29,4,0,25,0.0,1.0
16,2017,16,Colts,Ravens,16,23,400951596,7,1,0,Ravens,2017_16_Ravens_Colts,John Harbaugh,Chuck Pagano,Home,cloudy,63,78,14,2017-12-23 21:30:00+00:00,Colts,8 days 20:05:00,163.8,0.8,106.8,0.4,163.8,0.8,0.8,0.2,0.8,0.0,1.0,0.0,17.2,0.0,3.8,80.0,2017-12-23 21:30:00+00:00,M&T Bank Stadium,"Baltimore, MD",70590.0,70745,100.0,1,12,23,5,21,30,0.0,6.0
20,2017,16,Vikings,Packers,16,0,400951602,-16,0,1,Vikings,2017_16_Packers_Vikings,Mike McCarthy,Mike Zimmer,Home,cloudy,1,67,6,2017-12-24 01:30:00+00:00,Packers,6 days 07:30:00,224.6,1.8,111.8,0.8,224.6,1.8,1.0,0.4,2.8,0.2,1.0,0.0,60.6,0.0,17.8,40.0,2017-12-24 01:30:00+00:00,Lambeau Field,"Green Bay, WI",78092.0,81041,96.0,1,12,24,6,1,30,0.0,2.0
24,2017,16,Browns,Bears,3,20,400951617,17,1,0,Bears,2017_16_Bears_Browns,John Fox,Hue Jackson,Home,cloudy,68,24,5,2017-12-24 18:00:00+00:00,Bears,7 days 20:30:00,202.6,0.8,113.0,1.0,202.6,0.8,1.2,1.2,2.6,0.0,0.4,0.0,59.4,0.0,17.8,60.0,2017-12-24 18:00:00+00:00,Soldier Field,"Chicago, IL",58796.0,61500,96.0,1,12,24,6,18,0,1.0,0.0
28,2017,16,Lions,Bengals,17,26,400951621,9,1,0,Bengals,2017_16_Bengals_Lions,Marvin Lewis,Jim Caldwell,Home,cloudy,35,76,2,2017-12-24 18:00:00+00:00,Bengals,7 days 00:00:00,184.4,1.6,89.4,0.4,184.4,1.6,0.8,0.2,2.4,0.0,0.6,0.0,39.0,0.0,13.4,40.0,2017-12-24 18:00:00+00:00,Paycor Stadium,"Cincinnati, OH",47732.0,65515,73.0,1,12,24,6,18,0,1.0,0.0
32,2017,16,Rams,Titans,27,23,400951667,-4,0,1,Rams,2017_16_Titans_Rams,Mike Mularkey,Sean McVay,Home,cloudy,39,90,11,2017-12-24 18:00:00+00:00,Rams,6 days 20:55:00,224.4,1.6,115.2,1.2,226.2,1.6,1.4,0.4,3.8,0.2,0.6,0.2,69.0,0.0,51.2,56.0,2017-12-24 18:00:00+00:00,Nissan Stadium,"Nashville, TN",60097.0,69143,87.0,1,12,24,6,18,0,2.0,0.0
36,2017,16,Dolphins,Chiefs,13,29,400951625,16,1,0,Chiefs,2017_16_Chiefs_Dolphins,Andy Reid,Adam Gase,Home,cloudy,23,71,15,2017-12-24 18:00:00+00:00,Chiefs,7 days 16:35:00,258.8,1.4,128.0,0.6,258.8,1.4,0.4,0.4,1.4,0.0,1.2,0.0,70.6,0.0,11.8,85.0,2017-12-24 18:00:00+00:00,GEHA Field at Arrowhead Stadium,"Kansas City, MO",65325.0,72936,90.0,1,12,24,6,18,0,3.0,0.0
