,season_away,week_away,awayteam_away,hometeam_away,awayscore_away,homescore_away,idgame,score_abs_away,winner_home_away,winner_away_away,winner_team_away,concat_away,home_coach_away,away_coach_away,location_away,weather_type_away,temperature_away,humidity_away,wind_away,team_away,streak_away,game_date_away,delta_match_away,pass_completion_MA_5_away,pass_yds_MA_5_away,pass_avg_MA_5_away,pass_td_MA_5_away,pass_int_MA_5_away,sacks_MA_5_away,qbr_MA_5_away,rtg_MA_5_away,rush_car_MA_5_away,rush_yds_MA_5_away,rush_avg_MA_5_away,rush_td_MA_5_away,rush_long_MA_5_away,receptions_MA_5_away,rec_yds_MA_5_away,rec_avg_MA_5_away,rec_td_MA_5_away,rec_long_MA_5_away,rec_tgs_MA_5_away,fumbles_MA_5_away,fumbles_lost_MA_5_away,fumbles_rec_MA_5_away,defense_tot_MA_5_away,defense_solo_MA_5_away,defense_sacks_MA_5_away,defense_tfl_MA_5_away,defense_pd_MA_5_away,defense_qb_hits_MA_5_away,defense_td_MA_5_away,interceptions_MA_5_away,interceptions_yds_MA_5_away,interceptions_td_MA_5_away,kicks_return_no_MA_5_away,kicks_return_yds_MA_5_away,kicks_return_avg_MA_5_away,kicks_return_long_MA_5_away,kicks_return_td_MA_5_away,punt_return_no_MA_5_away,punt_return_yds_MA_5_away,punt_return_avg_MA_5_away,punt_return_long_MA_5_away,punt_return_td_MA_5_away,kicking_pct_MA_5_away,kicking_long_MA_5_away,kicking_pts_MA_5_away,punting_no_MA_5_away,punting_yds_MA_5_away,punting_avg_MA_5_away,punting_tb_MA_5_away,punting_in_20_MA_5_away,punting_long_MA_5_away,season_home,week_home,awayteam_home,hometeam_home,awayscore_home,homescore_home,score_abs_home,winner_home_home,winner_away_home,winner_team_home,concat_home,home_coach_home,away_coach_home,location_home,weather_type_home,temperature_home,humidity_home,wind_home,team_home,streak_home,game_date_home,delta_match_home,pass_completion_MA_5_home,pass_yds_MA_5_home,pass_avg_MA_5_home,pass_td_MA_5_home,pass_int_MA_5_home,sacks_MA_5_home,qbr_MA_5_home,rtg_MA_5_home,rush_car_MA_5_home,rush_yds_MA_5_home,rush_avg_MA_5_home,rush_td_MA_5_home,rush_long_MA_5_home,receptions_MA_5_home,rec_yds_MA_5_home,rec_avg_MA_5_home,rec_td_MA_5_home,rec_long_MA_5_home,rec_tgs_MA_5_home,fumbles_MA_5_home,fumbles_lost_MA_5_home,fumbles_rec_MA_5_home,defense_tot_MA_5_home,defense_solo_MA_5_home,defense_sacks_MA_5_home,defense_tfl_MA_5_home,defense_pd_MA_5_home,defense_qb_hits_MA_5_home,defense_td_MA_5_home,interceptions_MA_5_home,interceptions_yds_MA_5_home,interceptions_td_MA_5_home,kicks_return_no_MA_5_home,kicks_return_yds_MA_5_home,kicks_return_avg_MA_5_home,kicks_return_long_MA_5_home,kicks_return_td_MA_5_home,punt_return_no_MA_5_home,punt_return_yds_MA_5_home,punt_return_avg_MA_5_home,punt_return_long_MA_5_home,punt_return_td_MA_5_home,kicking_pct_MA_5_home,kicking_long_MA_5_home,kicking_pts_MA_5_home,punting_no_MA_5_home,punting_yds_MA_5_home,punting_avg_MA_5_home,punting_tb_MA_5_home,punting_in_20_MA_5_home,punting_long_MA_5_home,delta_day_away,delta_day_home,Unnamed: 0,date,stade,location,attendance,capacity,people,line,over_under,attendance_info,month,dayofmonth,dayofweek,hour,minute
0,2017,13,Vikings,Falcons,14,9,400951677,-5,0,1,Vikings,2017_13_Falcons_Vikings,Dan Quinn,Mike Zimmer,Home,,,,,Vikings,7.0,2017-12-03 18:00:00+00:00,10 days 00:30:00,0.6815465027781447,268.4,8.02,1.8,0.8,0.24,0.24,99.08,34.8,133.2,14.06,1.4,47.6,23.2,268.4,77.38,1.8,127.0,34.2,0.2,0.0,0.8,53.4,41.6,2.8,6.4,5.0,6.4,0.0,0.4,6.2,0.0,1.2,29.4,19.1,20.0,0.0,1.8,26.0,12.04,16.8,0.0,76.66,46.2,10.2,3.4,140.0,42.16,0.0,1.0,46.6,2017,13,Vikings,Falcons,14,9,-5,0,1,Vikings,2017_13_Falcons_Vikings,Dan Quinn,Mike Zimmer,Home,,,,,Falcons,3.0,2017-12-03 18:00:00+00:00,7 days 00:00:00,0.8914900277513708,269.0,18.34,2.0,0.4,0.1195454545454545,0.1195454545454545,139.73999999999998,28.4,112.4,17.419999999999998,0.8,49.6,22.0,269.0,79.54,2.0,130.2,30.6,1.6,0.8,1.2,62.8,42.8,3.2,6.2,4.2,7.2,0.2,0.2,8.6,0.0,2.8,63.0,21.04,29.2,0.0,1.4,10.4,4.76,8.2,0.0,100.0,48.2,9.4,3.2,143.0,45.0,0.4,1.0,52.2,10 ,7 ,898,2017-12-03 18:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",71185.0,75000,95.0,,,1,12,3,6,18,0
1,2017,9,Falcons,Panthers,17,20,400951749,3,1,0,Panthers,2017_09_Panthers_Falcons,Ron Rivera,Dan Quinn,Home,cloudy,61.0,86.0,4.0,Falcons,1.0,2017-11-05 18:00:00+00:00,7 days 01:00:00,0.6521032989998508,254.2,7.44,1.4,1.2,0.1129738562091503,0.1129738562091503,87.75999999999999,26.0,131.6,14.96,0.6,52.6,22.6,254.2,81.74,1.4,125.6,34.2,1.6,0.6,0.2,65.0,44.0,2.0,5.5,3.8,4.0,0.0,0.2,0.2,0.0,2.8,59.4,21.94,33.6,0.0,1.4,12.4,5.76,10.6,0.0,70.0,34.2,7.2,3.0,125.4,41.92,0.0,1.2,49.8,2017,9,Falcons,Panthers,17,20,3,1,0,Panthers,2017_09_Panthers_Falcons,Ron Rivera,Dan Quinn,Home,cloudy,61.0,86.0,4.0,Panthers,1.0,2017-11-05 18:00:00+00:00,7 days 01:00:00,0.6530216149638056,255.0,7.459999999999999,1.6,1.4,0.1289377289377289,0.1289377289377289,88.48,28.6,91.2,14.580000000000002,0.6,36.0,23.0,255.0,70.66,1.6,118.0,35.6,1.0,0.4,0.6,54.6,39.4,3.8,7.3,2.8,6.8,0.0,0.4,0.4,0.0,2.6,53.2,32.1,35.0,0.0,2.4,22.4,10.04,14.4,0.0,93.34,40.4,7.4,4.2,204.2,46.02,0.4,1.6,51.8,7 ,7 ,644,2017-11-05 18:00:00+00:00,Bank of America Stadium,"Charlotte, NC",74244.0,73778,100.0,,,1,11,5,6,18,0
2,2017,9,Bengals,Jaguars,7,23,400951753,16,1,0,Jaguars,2017_09_Jaguars_Bengals,Doug Marrone,Marvin Lewis,Home,,78.0,74.0,12.0,Bengals,1.0,2017-11-05 18:00:00+00:00,7 days 01:00:00,0.6750191570881225,241.8,7.92,2.2,0.8,0.1448441558441558,0.1448441558441558,103.84,25.0,78.0,14.3,0.2,41.2,20.4,241.8,79.5,2.2,126.4,29.4,2.2,1.0,0.0,67.2,44.8,3.6,7.2,3.8,7.0,0.4,0.8,22.0,0.4,2.0,39.0,17.6,20.8,0.0,3.8,31.2,16.82,25.4,0.0,60.0,29.2,5.8,4.6,224.2,48.64,0.4,1.6,56.0,2017,9,Bengals,Jaguars,7,23,16,1,0,Jaguars,2017_09_Jaguars_Bengals,Doug Marrone,Marvin Lewis,Home,,78.0,74.0,12.0,Jaguars,1.0,2017-11-05 18:00:00+00:00,14 days 01:00:00,0.5989223679546261,210.0,7.659999999999999,1.4,0.6,0.1283882783882783,0.1283882783882783,103.11999999999998,34.8,185.8,24.28,1.2,90.0,16.8,210.0,86.62,1.4,125.6,28.2,1.0,0.4,0.6,58.8,46.0,4.4,8.3,6.0,9.0,0.6,1.6,24.6,0.4,0.6,9.2,9.2,9.2,0.0,0.8,0.4,0.2,0.4,0.0,80.0,41.0,8.4,5.0,216.4,45.14,0.0,2.4,55.4,7 ,14 ,635,2017-11-05 18:00:00+00:00,TIAA Bank Field,"Jacksonville, FL",60720.0,67858,89.0,,,1,11,5,6,18,0
3,2017,4,Bears,Packers,14,35,400951678,21,1,0,Packers,2017_04_Packers_Bears,Mike McCarthy,John Fox,Home,cloudy,65.0,62.0,5.0,Bears,1.0,2017-09-29 00:25:00+00:00,4 days 07:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,4,Bears,Packers,14,35,21,1,0,Packers,2017_04_Packers_Bears,Mike McCarthy,John Fox,Home,cloudy,65.0,62.0,5.0,Packers,1.0,2017-09-29 00:25:00+00:00,4 days 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,4 ,122,2017-09-29 00:25:00+00:00,Lambeau Field,"Green Bay, WI",78362.0,81041,97.0,,,1,9,29,4,0,25
4,2017,9,Colts,Texans,20,14,400951751,-6,0,1,Colts,2017_09_Texans_Colts,Bill O'Brien,Chuck Pagano,Home,cloudy,84.0,62.0,10.0,Colts,-3.0,2017-11-05 18:00:00+00:00,7 days 01:00:00,0.6003941529296499,223.2,6.34,0.8,0.6,0.1424113876319758,0.1424113876319758,78.64000000000001,25.4,110.6,17.64,0.6,44.6,21.2,223.2,73.02000000000001,0.8,114.0,34.4,1.6,0.4,0.8,64.8,38.6,2.0,5.1,3.0,5.8,0.2,0.6,11.0,0.2,3.2,73.8,21.9,32.2,0.0,0.8,3.8,4.7,5.0,0.0,80.0,35.4,7.8,4.8,219.6,46.7,0.0,2.0,56.8,2017,9,Colts,Texans,20,14,-6,0,1,Colts,2017_09_Texans_Colts,Bill O'Brien,Chuck Pagano,Home,cloudy,84.0,62.0,10.0,Texans,-1.0,2017-11-05 18:00:00+00:00,6 days 21:55:00,0.6275260092913695,294.4,9.4,3.6,1.4,0.2358363858363858,0.2358363858363858,109.14,32.8,141.4,20.78,0.6,50.2,19.8,294.4,101.4,3.6,160.0,31.0,0.8,0.2,0.4,62.6,43.0,2.8,6.9,4.4,5.8,0.6,1.6,27.0,0.4,2.6,56.4,29.160000000000004,31.4,0.0,2.6,31.4,19.44,21.0,0.0,80.0,32.2,9.0,4.6,242.2,54.1,0.0,1.8,61.4,7 ,6 ,641,2017-11-05 18:00:00+00:00,NRG Stadium,"Houston, TX",71709.0,71995,100.0,,,1,11,5,6,18,0
5,2017,13,Steelers,Bengals,23,20,400951754,-3,0,1,Steelers,2017_13_Bengals_Steelers,Marvin Lewis,Mike Tomlin,Home,cloudy,,61.0,,Steelers,6.0,2017-12-05 01:30:00+00:00,8 days 00:00:00,0.8289247311827959,294.2,17.1,2.6,0.8,0.085,0.085,127.71999999999998,29.4,100.2,10.46,0.2,21.8,22.8,294.2,76.96000000000001,2.6,139.0,35.0,0.8,0.4,0.2,55.6,42.2,3.6,8.0,5.0,6.8,0.0,1.4,19.6,0.0,1.2,27.6,21.8,23.6,0.0,1.4,9.2,5.7,7.4,0.0,93.34,46.2,10.4,3.6,164.8,44.9,0.0,1.8,51.4,2017,13,Steelers,Bengals,23,20,-3,0,1,Steelers,2017_13_Bengals_Steelers,Marvin Lewis,Mike Tomlin,Home,cloudy,,61.0,,Bengals,2.0,2017-12-05 01:30:00+00:00,8 days 07:30:00,0.5912096332785988,202.4,7.479999999999999,1.8,0.0,0.1382986425339366,0.1382986425339366,103.52,21.6,68.2,11.080000000000002,0.6,30.8,16.0,202.4,73.02000000000001,1.8,120.6,25.8,1.6,0.8,0.4,71.0,53.0,3.0,6.2,4.2,8.8,0.2,0.6,27.4,0.2,2.0,40.8,17.3,20.6,0.0,2.0,21.8,13.34,18.6,0.0,30.0,15.6,4.6,5.4,255.0,45.86,0.6,1.8,55.0,8 ,8 ,911,2017-12-05 01:30:00+00:00,Paycor Stadium,"Cincinnati, OH",56029.0,65515,86.0,,,1,12,5,1,1,30
6,2017,13,Eagles,Seahawks,10,24,400951746,14,1,0,Seahawks,2017_13_Seahawks_Eagles,Pete Carroll,Doug Pederson,Home,cloudy,44.0,78.0,3.0,Eagles,9.0,2017-12-04 01:30:00+00:00,7 days 07:30:00,0.9910925925925926,225.8,15.839999999999998,3.0,0.4,0.181578947368421,0.181578947368421,149.82,33.4,165.4,23.68,1.2,87.4,18.2,225.8,100.46,3.0,134.0,30.0,1.4,0.8,0.2,50.8,41.8,3.4,7.9,7.0,9.0,0.4,2.0,39.8,0.2,0.8,15.4,12.1,13.8,0.0,2.0,15.0,7.88,11.4,0.0,73.34,38.2,6.8,3.8,179.6,48.02,0.4,1.2,52.8,2017,13,Eagles,Seahawks,10,24,14,1,0,Seahawks,2017_13_Seahawks_Eagles,Pete Carroll,Doug Pederson,Home,cloudy,44.0,78.0,3.0,Seahawks,1.0,2017-12-04 01:30:00+00:00,7 days 04:25:00,0.8124525175924028,293.8,6.760000000000001,2.4,1.0,0.1751282051282051,0.1751282051282051,111.1,25.0,96.4,13.580000000000002,0.4,38.2,23.8,293.8,111.02,2.4,161.4,36.2,1.0,0.2,0.6,64.6,45.4,3.4,8.3,5.0,9.2,0.2,0.8,19.6,0.2,2.8,69.0,23.380000000000003,29.0,0.0,2.6,16.0,4.96,11.0,0.0,65.0,28.8,7.2,5.2,245.8,46.4,0.6,1.4,57.6,7 ,7 ,908,2017-12-04 01:30:00+00:00,Lumen Field,"Seattle, WA",69075.0,68740,100.0,,,1,12,4,0,1,30
7,2017,13,Rams,Cardinals,32,16,400951733,-16,0,1,Rams,2017_13_Cardinals_Rams,Bruce Arians,Sean McVay,Home,,,,,Rams,1.0,2017-12-03 21:25:00+00:00,7 days 00:00:00,0.8358836637906405,297.2,10.08,2.0,0.4,0.1104737854737854,0.1104737854737854,131.0,29.2,119.2,15.96,1.0,48.4,22.6,297.2,98.8,2.0,174.2,34.8,0.6,0.2,0.8,55.0,40.6,2.2,4.5,6.0,5.4,0.0,1.0,14.6,0.0,1.8,47.4,20.0,23.8,0.0,2.8,37.6,12.94,26.0,0.0,76.0,40.0,12.0,3.4,158.2,47.32,0.2,2.0,52.8,2017,13,Rams,Cardinals,32,16,-16,0,1,Rams,2017_13_Cardinals_Rams,Bruce Arians,Sean McVay,Home,,,,,Cardinals,1.0,2017-12-03 21:25:00+00:00,7 days 00:00:00,0.6298685805042435,232.0,7.58,1.6,1.2,0.1791471273824215,0.1791471273824215,81.35999999999999,25.6,76.4,9.36,0.2,22.2,19.6,232.0,111.76,1.6,138.6,35.8,1.2,0.6,0.8,62.4,52.6,3.0,6.4,6.0,7.8,0.0,0.8,13.2,0.0,1.8,36.0,23.0,25.2,0.0,3.4,29.2,11.18,15.8,0.0,53.34,26.4,5.6,5.8,263.2,45.4,0.8,3.0,56.6,7 ,7 ,914,2017-12-03 21:25:00+00:00,State Farm Stadium,"Glendale, AZ",63986.0,65000,98.0,,,1,12,3,6,21,25
8,2017,9,Cardinals,49ers,20,10,400951763,-10,0,1,Cardinals,2017_09_49ers_Cardinals,Kyle Shanahan,Bruce Arians,Home,sunny,61.0,48.0,8.0,Cardinals,-1.0,2017-11-05 21:05:00+00:00,14 days 04:05:00,0.7236938714879891,288.8,8.959999999999999,1.4,0.8,0.2064502164502163,0.2064502164502163,96.56,20.8,63.2,12.46,0.4,25.4,24.6,288.8,90.32,1.4,131.0,39.4,1.0,0.4,0.0,58.6,47.8,1.6,5.5,3.2,5.4,0.0,1.0,15.2,0.0,1.8,37.6,17.9,19.2,0.0,1.8,6.4,5.46,6.4,0.0,50.0,23.0,5.2,5.4,253.4,46.78,0.4,1.2,55.8,2017,9,Cardinals,49ers,20,10,-10,0,1,Cardinals,2017_09_49ers_Cardinals,Kyle Shanahan,Bruce Arians,Home,sunny,61.0,48.0,8.0,49ers,-8.0,2017-11-05 21:05:00+00:00,7 days 04:05:00,0.6125628866066919,253.6,6.640000000000001,0.8,0.8,0.1451979853726387,0.1451979853726387,79.16,23.0,88.6,21.94,0.6,38.4,23.0,253.6,88.82,0.8,133.4,42.6,1.4,0.6,0.2,68.2,49.4,2.8,8.0,4.2,8.6,0.0,0.8,9.6,0.0,2.2,39.6,11.18,15.4,0.0,1.8,19.8,12.760000000000002,14.4,0.0,80.0,47.2,8.0,6.2,284.6,45.720000000000006,0.2,2.4,53.6,14 ,7 ,640,2017-11-05 21:05:00+00:00,Levi's Stadium,"Santa Clara, CA",70133.0,68500,100.0,,,1,11,5,6,21,5
9,2017,9,Washington,Seahawks,17,14,400951765,-3,0,1,Redskins,2017_09_Seahawks_Washington,Pete Carroll,Jay Gruden,Home,rain,36.0,86.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,9,Washington,Seahawks,17,14,-3,0,1,Redskins,2017_09_Seahawks_Washington,Pete Carroll,Jay Gruden,Home,rain,36.0,86.0,11.0,Seahawks,4.0,2017-11-05 21:05:00+00:00,7 days 01:00:00,0.6749263449611882,330.4,8.78,2.8,1.0,0.1858524516419253,0.1858524516419253,107.66,26.4,92.4,17.72,0.4,46.6,25.4,330.4,121.22,2.8,185.0,37.0,1.0,0.2,0.8,61.8,42.4,2.2,5.9,5.0,6.0,0.6,1.2,30.0,0.4,1.2,21.2,13.5,14.6,0.0,2.2,17.4,6.56,9.6,0.0,70.0,30.6,7.6,5.0,217.4,41.67999999999999,0.2,1.8,49.4,nan,7 ,650,2017-11-05 21:05:00+00:00,Lumen Field,"Seattle, WA",68927.0,68740,100.0,,,1,11,5,6,21,5
