,index,Unnamed: 0,idgame,team,pass_completion,pass_yds,pass_avg,pass_td,pass_int,sacks,qbr,rtg,rush_car,rush_yds,rush_avg,rush_td,rush_long,receptions,rec_yds,rec_avg,rec_td,rec_long,rec_tgs,fumbles,fumbles_lost,fumbles_rec,defense_tot,defense_solo,defense_sacks,defense_tfl,defense_pd,defense_qb_hits,defense_td,interceptions,interceptions_yds,interceptions_td,kicks_return_no,kicks_return_yds,kicks_return_avg,kicks_return_long,kicks_return_td,punt_return_no,punt_return_yds,punt_return_avg,punt_return_long,punt_return_td,kicking_pct,kicking_long,kicking_pts,punting_no,punting_yds,punting_avg,punting_tb,punting_in_20,punting_long,delta_match,pass_completion_MA_5,pass_yds_MA_5,pass_avg_MA_5,pass_td_MA_5,pass_int_MA_5,sacks_MA_5,qbr_MA_5,rtg_MA_5,rush_car_MA_5,rush_yds_MA_5,rush_avg_MA_5,rush_td_MA_5,rush_long_MA_5,receptions_MA_5,rec_yds_MA_5,rec_avg_MA_5,rec_td_MA_5,rec_long_MA_5,rec_tgs_MA_5,fumbles_MA_5,fumbles_lost_MA_5,fumbles_rec_MA_5,defense_tot_MA_5,defense_solo_MA_5,defense_sacks_MA_5,defense_tfl_MA_5,defense_pd_MA_5,defense_qb_hits_MA_5,defense_td_MA_5,interceptions_MA_5,interceptions_yds_MA_5,interceptions_td_MA_5,kicks_return_no_MA_5,kicks_return_yds_MA_5,kicks_return_avg_MA_5,kicks_return_long_MA_5,kicks_return_td_MA_5,punt_return_no_MA_5,punt_return_yds_MA_5,punt_return_avg_MA_5,punt_return_long_MA_5,punt_return_td_MA_5,kicking_pct_MA_5,kicking_long_MA_5,kicking_pts_MA_5,punting_no_MA_5,punting_yds_MA_5,punting_avg_MA_5,punting_tb_MA_5,punting_in_20_MA_5,punting_long_MA_5
0,2017-09-10 20:25:00+00:00,104,400951605,49ers,0.6857142857142857,193.0,5.5,0.0,1.0,0.1481481481481481,0.1481481481481481,70.3,15.0,51.0,2.8,0.0,18.0,24.0,193.0,54.7,0.0,86.0,35.0,1.0,1.0,1.0,58.0,47.0,0.0,3.0,3.0,2.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,9.0,0.0,100.0,44.0,3.0,4.0,163.0,40.8,0.0,1.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-09-17 20:25:00+00:00,236,400951676,49ers,0.5555555555555556,99.0,3.7,0.0,1.0,0.2,0.2,48.2,19.0,159.0,17.1,0.0,74.0,15.0,99.0,42.2,0.0,59.0,26.0,0.0,0.0,0.0,79.0,51.0,3.0,6.0,5.0,10.0,0.0,0.0,0.0,0.0,3.0,71.0,23.7,34.0,0.0,3.0,40.0,13.3,21.0,0.0,100.0,40.0,9.0,7.0,307.0,43.9,0.0,4.0,51.0,7 days 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017-09-22 00:25:00+00:00,34,400951568,49ers,0.6216216216216216,332.0,9.0,2.0,1.0,0.1666666666666666,0.1666666666666666,98.0,33.0,113.0,18.2,3.0,46.0,23.0,332.0,126.5,2.0,204.0,37.0,1.0,1.0,2.0,61.0,52.0,0.0,4.5,1.0,3.0,0.0,0.0,0.0,0.0,3.0,56.0,38.0,38.0,0.0,2.0,9.0,9.0,9.0,0.0,100.0,48.0,9.0,2.0,83.0,41.5,0.0,2.0,51.0,4 days 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017-10-01 20:05:00+00:00,352,400951735,49ers,0.4897959183673469,234.0,4.8,0.0,1.0,0.125,0.125,54.3,27.0,95.0,17.1,0.0,34.0,24.0,234.0,85.6,0.0,111.0,48.0,1.0,0.0,0.0,73.0,58.0,6.0,11.0,9.0,16.0,0.0,1.0,0.0,0.0,3.0,76.0,25.3,28.0,0.0,4.0,41.0,10.3,16.0,0.0,100.0,49.0,15.0,7.0,351.0,50.1,0.0,3.0,59.0,9 days 19:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017-10-08 17:00:00+00:00,22,400951562,49ers,0.6304347826086957,353.0,7.7,2.0,0.0,0.1176470588235294,0.1176470588235294,101.1,22.0,66.0,12.3,0.0,26.0,29.0,353.0,85.2,2.0,145.0,45.0,2.0,0.0,0.0,73.0,41.0,4.0,10.0,4.0,12.0,0.0,1.0,29.0,0.0,4.0,59.0,14.8,28.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,43.0,11.0,6.0,274.0,45.7,0.0,1.0,55.0,6 days 20:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017-10-15 17:00:00+00:00,413,400951767,49ers,0.8914141414141414,279.0,9.9,1.0,1.0,0.2052631578947368,0.2052631578947368,117.4,20.0,85.0,43.5,2.0,53.0,23.0,279.0,103.9,1.0,163.0,47.0,0.0,0.0,1.0,77.0,46.0,1.0,9.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,39.0,39.0,0.0,50.0,52.0,6.0,6.0,254.0,42.3,0.0,4.0,49.0,7 days 00:00:00,0.5966244327735011,242.2,6.14,0.8,0.8,0.15149237472766883,0.15149237472766883,74.38,23.2,96.8,13.5,0.6,39.6,23.0,242.2,78.84,0.8,121.0,38.2,1.0,0.4,0.6,68.8,49.8,2.6,6.9,4.4,8.6,0.0,0.6,13.2,0.0,2.6,52.4,20.360000000000003,25.6,0.0,2.2,19.8,8.32,11.0,0.0,100.0,44.8,9.4,5.2,235.6,44.4,0.0,2.2,53.0
6,2017-10-22 20:05:00+00:00,128,400951619,49ers,0.5789473684210527,235.0,6.2,0.0,0.0,0.1041666666666666,0.1041666666666666,76.1,22.0,103.0,12.6,1.0,37.0,22.0,235.0,89.6,0.0,138.0,37.0,4.0,3.0,0.0,62.0,56.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,63.0,15.8,21.0,0.0,1.0,10.0,10.0,10.0,0.0,100.0,42.0,4.0,4.0,180.0,45.0,0.0,2.0,48.0,7 days 03:05:00,0.6377644039134723,259.4,7.0200000000000005,1.0,0.8,0.16291537667698655,0.16291537667698655,83.8,24.2,103.6,21.64,1.0,46.6,22.8,259.4,88.68,1.0,136.4,40.6,0.8,0.2,0.6,72.6,49.6,2.8,8.1,4.2,9.4,0.0,0.6,5.8,0.0,2.6,52.4,20.360000000000003,25.6,0.0,2.2,25.8,14.319999999999999,17.0,0.0,90.0,46.4,10.0,5.6,253.8,44.7,0.0,2.8,53.0
7,2017-10-29 17:00:00+00:00,329,400951723,49ers,0.4722222222222222,167.0,4.6,1.0,2.0,0.1739130434782608,0.1739130434782608,46.9,24.0,94.0,24.2,0.0,42.0,17.0,167.0,79.8,1.0,110.0,36.0,0.0,0.0,0.0,56.0,46.0,3.0,7.0,4.0,7.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.5,7.0,0.0,50.0,50.0,4.0,8.0,364.0,45.5,1.0,2.0,57.0,6 days 20:55:00,0.6424427664865717,286.6,7.5200000000000005,1.0,0.6,0.14374871001031989,0.14374871001031989,89.38,24.8,92.4,20.74,1.2,39.2,24.2,286.6,98.16,1.0,152.2,42.8,1.6,0.8,0.6,69.2,50.6,2.2,7.5,3.6,7.8,0.0,0.6,5.8,0.0,2.8,50.8,18.78,23.0,0.0,1.8,19.8,13.660000000000002,14.8,0.0,90.0,46.8,9.0,5.0,228.4,44.92,0.0,2.4,52.4
8,2017-11-05 21:05:00+00:00,406,400951763,49ers,0.4705882352941176,294.0,5.8,0.0,1.0,0.1785714285714285,0.1785714285714285,57.1,17.0,63.0,14.7,1.0,27.0,24.0,294.0,118.8,0.0,164.0,51.0,1.0,1.0,1.0,75.0,57.0,0.0,5.0,6.0,7.0,0.0,1.0,0.0,0.0,4.0,59.0,19.7,24.0,0.0,4.0,10.0,3.3,5.0,0.0,100.0,42.0,4.0,8.0,352.0,44.0,0.0,3.0,54.0,7 days 04:05:00,0.6125628866066919,253.6,6.640000000000001,0.8,0.8,0.14519798537263873,0.14519798537263873,79.16,23.0,88.6,21.94,0.6,38.4,23.0,253.6,88.82,0.8,133.4,42.6,1.4,0.6,0.2,68.2,49.4,2.8,8.0,4.2,8.6,0.0,0.8,9.6,0.0,2.2,39.6,11.180000000000001,15.4,0.0,1.8,19.8,12.760000000000002,14.4,0.0,80.0,47.2,8.0,6.2,284.6,45.720000000000006,0.2,2.4,53.6
9,2017-11-12 21:25:00+00:00,259,400951688,49ers,0.76,288.0,11.5,2.0,1.0,0.0,0.0,123.4,33.0,186.0,32.9,2.0,90.0,19.0,288.0,161.2,2.0,223.0,25.0,1.0,1.0,1.0,65.0,53.0,3.0,4.5,5.0,5.0,0.0,0.0,0.0,0.0,1.0,23.0,23.0,23.0,0.0,2.0,23.0,11.5,16.0,0.0,100.0,43.0,7.0,1.0,45.0,45.0,0.0,1.0,45.0,7 days 00:20:00,0.6087213499920459,265.6,6.840000000000001,0.8,0.8,0.15591227108692443,0.15591227108692443,79.72,21.0,82.2,21.46,0.8,37.0,23.0,265.6,95.46000000000001,0.8,144.0,43.2,1.4,0.8,0.4,68.6,49.2,1.6,6.8,3.6,6.8,0.0,0.8,9.6,0.0,2.4,36.2,10.059999999999999,14.6,0.0,1.8,13.6,11.36,12.2,0.0,80.0,45.8,5.8,6.4,284.8,44.5,0.2,2.4,52.6
