,index,Unnamed: 0,idgame,team,pass_completion,pass_yds,pass_avg,pass_td,pass_int,sacks,qbr,rtg,rush_car,rush_yds,rush_avg,rush_td,rush_long,receptions,rec_yds,rec_avg,rec_td,rec_long,rec_tgs,fumbles,fumbles_lost,fumbles_rec,defense_tot,defense_solo,defense_sacks,defense_tfl,defense_pd,defense_qb_hits,defense_td,interceptions,interceptions_yds,interceptions_td,kicks_return_no,kicks_return_yds,kicks_return_avg,kicks_return_long,kicks_return_td,punt_return_no,punt_return_yds,punt_return_avg,punt_return_long,punt_return_td,kicking_pct,kicking_long,kicking_pts,punting_no,punting_yds,punting_avg,punting_tb,punting_in_20,punting_long,delta_match,pass_completion_MA_5,pass_yds_MA_5,pass_avg_MA_5,pass_td_MA_5,pass_int_MA_5,sacks_MA_5,qbr_MA_5,rtg_MA_5,rush_car_MA_5,rush_yds_MA_5,rush_avg_MA_5,rush_td_MA_5,rush_long_MA_5,receptions_MA_5,rec_yds_MA_5,rec_avg_MA_5,rec_td_MA_5,rec_long_MA_5,rec_tgs_MA_5,fumbles_MA_5,fumbles_lost_MA_5,fumbles_rec_MA_5,defense_tot_MA_5,defense_solo_MA_5,defense_sacks_MA_5,defense_tfl_MA_5,defense_pd_MA_5,defense_qb_hits_MA_5,defense_td_MA_5,interceptions_MA_5,interceptions_yds_MA_5,interceptions_td_MA_5,kicks_return_no_MA_5,kicks_return_yds_MA_5,kicks_return_avg_MA_5,kicks_return_long_MA_5,kicks_return_td_MA_5,punt_return_no_MA_5,punt_return_yds_MA_5,punt_return_avg_MA_5,punt_return_long_MA_5,punt_return_td_MA_5,kicking_pct_MA_5,kicking_long_MA_5,kicking_pts_MA_5,punting_no_MA_5,punting_yds_MA_5,punting_avg_MA_5,punting_tb_MA_5,punting_in_20_MA_5,punting_long_MA_5
80,2022-01-09 21:25:00+00:00,2538,401326599,49ers,1.71875,340.0,33.9,2.0,2.0,0.1153846153846153,0.1153846153846153,245.8,31.0,135.0,14.6,1.0,34.0,24.0,340.0,82.8,2.0,140.0,32.0,1.0,0.0,1.0,73.0,46.0,5.0,8.0,3.0,13.0,0.0,2.0,0.0,0.0,1.0,11.0,11.0,11.0,0.0,1.0,14.0,14.0,14.0,0.0,100.0,42.0,9.0,4.0,175.0,87.5,0.0,1.0,90.0,7 days 00:20:00,0.9196809195576428,288.4,14.26,1.6,1.0,0.09746716697936204,0.09746716697936204,143.3,28.8,131.0,18.94,1.2,43.4,22.2,288.4,85.8,1.6,134.6,30.2,1.8,0.2,2.0,69.2,43.2,4.0,6.2,3.4,9.2,0.0,0.6,0.4,0.0,1.6,24.4,11.2,15.2,0.0,2.0,14.2,10.059999999999999,13.8,0.0,93.4,38.0,8.0,4.2,178.2,50.58,0.2,1.0,58.4
161,2022-01-09 18:00:00+00:00,2527,401326593,Bears,0.6875,325.0,6.8,1.0,2.0,0.1186440677966101,0.1186440677966101,77.2,25.0,90.0,13.4,0.0,22.0,33.0,325.0,84.9,1.0,127.0,46.0,0.0,0.0,0.0,51.0,27.0,3.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,36.0,36.0,36.0,0.0,4.0,47.0,11.8,17.0,0.0,100.0,46.0,9.0,1.0,43.0,43.0,0.0,1.0,43.0,7 days 00:00:00,0.6199242424242424,251.4,6.580000000000001,1.2,1.2,0.146759116589625,0.146759116589625,81.24,26.6,103.4,19.96,0.8,42.4,23.8,251.4,90.34,1.2,122.4,36.4,1.4,0.8,1.0,64.0,38.0,3.2,4.4,4.0,6.0,0.2,0.6,14.6,0.0,3.0,68.2,26.580000000000002,32.8,0.0,2.6,42.4,14.6,29.8,0.2,90.0,40.6,7.6,3.2,150.2,46.68,0.6,0.6,57.8
241,2022-01-09 18:00:00+00:00,2517,401326588,Bengals,0.5172413793103449,136.0,4.7,1.0,0.0,0.1212121212121212,0.1212121212121212,76.2,18.0,79.0,15.2,0.0,28.0,15.0,136.0,73.8,1.0,99.0,29.0,1.0,0.0,2.0,84.0,53.0,1.0,1.0,3.0,3.0,1.0,1.0,35.0,0.0,2.0,58.0,29.0,29.0,0.0,1.0,11.0,11.0,11.0,0.0,100.0,36.0,4.0,7.0,311.0,44.4,1.0,1.0,57.0,7 days 00:00:00,0.7015864548186623,322.4,8.959999999999999,2.4,0.0,0.12786955367600525,0.12786955367600525,127.28,20.8,78.0,11.140000000000004,0.2,28.8,21.0,280.4,66.44,2.0,124.8,28.8,0.8,0.4,0.8,62.0,38.4,1.2,2.6,3.6,4.8,0.2,0.4,10.0,0.0,1.8,33.2,19.2,22.6,0.0,2.2,14.4,6.859999999999999,9.6,0.0,73.4,35.2,6.8,3.4,159.4,27.26,0.2,0.8,33.8
322,2022-01-09 21:25:00+00:00,2515,401326587,Bills,1.5333333333333332,254.0,20.3,2.0,0.0,0.0,0.0,202.3,33.0,170.0,27.8,1.0,90.0,25.0,254.0,85.1,2.0,131.0,45.0,3.0,0.0,2.0,44.0,31.0,9.0,11.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,9.2,17.0,0.0,100.0,41.0,9.0,7.0,237.0,33.9,1.0,2.0,53.0,7 days 03:25:00,0.7640396649658227,241.2,8.700000000000001,2.0,1.0,0.18705882352941178,0.18705882352941178,100.24000000000001,30.2,161.8,21.479999999999997,1.6,58.4,24.2,241.2,67.75999999999999,2.0,101.0,38.8,1.0,0.0,1.0,58.6,41.2,4.2,6.0,4.8,6.4,0.0,0.6,6.8,0.0,1.8,40.2,21.839999999999996,25.4,0.0,2.8,22.2,8.999999999999996,14.6,0.0,80.0,25.2,7.4,3.6,142.2,23.84,0.2,1.4,31.8
402,2022-01-08 21:30:00+00:00,2536,401326598,Broncos,1.5,178.0,22.8,0.0,0.0,0.2,0.2,190.7,28.0,191.0,21.8,3.0,85.0,13.0,178.0,74.8,0.0,105.0,24.0,1.0,1.0,0.0,70.0,39.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31.0,6.0,3.0,145.0,48.3,0.0,2.0,65.0,6 days 00:25:00,1.1334545454545455,188.4,11.919999999999998,0.8,0.0,0.1752136752136753,0.1752136752136753,160.09999999999997,28.8,121.8,11.34,1.4,35.6,16.6,188.4,69.4,0.8,113.4,26.0,0.6,0.6,0.6,68.4,40.2,1.6,3.2,3.6,4.6,0.0,0.4,4.2,0.0,0.4,3.6,3.6,3.6,0.0,1.2,7.0,3.5,6.6,0.0,83.4,50.6,6.4,4.0,188.8,46.68,0.2,1.6,57.4
482,2022-01-09 18:00:00+00:00,2518,401326588,Browns,0.7083333333333334,176.0,7.3,2.0,1.0,0.2,0.2,102.1,41.0,205.0,23.3,1.0,67.0,17.0,176.0,73.7,2.0,98.0,24.0,2.0,1.0,1.0,53.0,32.0,4.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,49.0,24.5,25.0,0.0,4.0,20.0,5.0,8.0,0.0,0.0,0.0,3.0,4.0,150.0,37.5,0.0,0.0,56.0,5 days 16:45:00,0.6133771929824561,184.0,5.84,1.8,1.6,0.109433465085639,0.109433465085639,78.32000000000001,27.8,141.2,19.98,0.6,52.8,19.2,184.0,62.739999999999995,1.8,93.2,31.2,0.8,0.2,1.2,68.6,44.2,2.4,4.0,4.6,4.8,0.2,0.4,1.6,0.0,3.2,67.2,29.880000000000003,33.4,0.0,3.4,22.0,9.2,12.0,0.0,30.0,16.0,3.4,5.0,207.6,40.24,0.4,1.2,48.4
563,2022-01-09 21:25:00+00:00,2532,401326596,Buccaneers,0.7837837837837838,326.0,8.8,3.0,0.0,0.5,0.5,170.0,20.0,85.0,28.1,2.0,49.0,29.0,326.0,69.60000000000001,3.0,134.0,38.0,0.0,0.0,1.0,69.0,48.0,2.0,7.0,6.0,6.0,0.0,1.0,17.0,0.0,3.0,75.0,25.0,34.0,0.0,1.0,4.0,4.0,4.0,0.0,67.0,40.0,11.0,3.0,133.0,44.3,0.0,0.0,46.0,7 days 03:25:00,0.6558726987857423,309.0,7.419999999999999,1.8,0.4,0.19999999999999998,0.19999999999999998,114.46,24.4,112.2,21.0,1.2,58.0,27.6,309.0,86.97999999999999,1.8,145.2,42.0,0.4,0.2,0.6,64.0,45.0,3.0,6.6,4.6,7.0,0.0,0.6,4.8,0.0,1.8,30.8,12.3,14.8,0.0,3.0,20.4,6.340000000000001,9.6,0.0,73.4,30.2,8.4,4.4,178.4,40.239999999999995,0.0,1.4,47.6
643,2022-01-09 21:25:00+00:00,2534,401326597,Cardinals,0.717948717948718,240.0,6.2,1.0,0.0,0.0943396226415094,0.0943396226415094,96.1,28.0,118.0,14.9,1.0,40.0,28.0,240.0,65.4,1.0,108.0,39.0,2.0,1.0,2.0,54.0,37.0,1.0,1.0,3.0,7.0,1.0,1.0,33.0,0.0,2.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41.0,12.0,3.0,154.0,51.3,0.0,0.0,57.0,7 days 00:00:00,0.9821539443842505,293.4,12.419999999999998,1.0,0.6,0.07366645932683673,0.07366645932683673,126.97999999999999,24.8,117.2,23.16,0.8,52.6,28.6,293.4,77.74,1.0,129.2,42.4,1.2,0.2,1.6,60.8,40.8,1.8,5.0,3.2,5.8,0.2,0.2,6.6,0.0,1.8,36.0,22.54,25.8,0.0,0.8,12.2,10.4,11.0,0.0,86.6,40.8,9.2,2.2,99.6,45.32,0.0,0.4,48.8
723,2022-01-10 01:20:00+00:00,2540,401326600,Chargers,0.53125,383.0,6.0,3.0,1.0,0.1071428571428571,0.1071428571428571,80.4,21.0,85.0,11.2,1.0,27.0,34.0,383.0,68.9,3.0,157.0,64.0,1.0,1.0,0.0,78.0,50.0,3.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,47.0,23.5,24.0,0.0,2.0,4.0,2.0,4.0,0.0,50.0,41.0,6.0,3.0,162.0,54.0,0.0,0.0,56.0,7 days 04:15:00,0.6666477686150861,293.4,7.659999999999999,2.2,0.8,0.1464285714285714,0.1464285714285714,108.52000000000001,30.6,124.4,15.959999999999999,1.4,39.0,25.6,293.4,89.3,2.2,149.6,39.0,0.6,0.6,0.6,68.2,41.4,1.6,4.6,4.2,4.6,0.2,0.4,0.4,0.0,2.2,80.8,48.1,54.6,0.2,0.8,1.8,0.9,1.6,0.0,70.0,30.6,8.4,2.0,79.2,31.860000000000003,0.0,0.4,36.6
804,2022-01-08 21:30:00+00:00,2537,401326598,Chiefs,0.6136363636363636,270.0,6.1,2.0,0.0,0.0666666666666666,0.0666666666666666,93.9,29.0,135.0,27.5,0.0,53.0,27.0,270.0,59.6,2.0,119.0,42.0,0.0,0.0,1.0,52.0,30.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,0.0,100.0,51.0,8.0,2.0,101.0,50.5,2.0,0.0,58.0,6 days 03:30:00,0.7232135949157226,291.0,8.32,2.4,0.2,0.14666666666666664,0.14666666666666664,117.58,27.4,127.0,25.24,1.4,57.6,25.4,291.0,91.46000000000001,2.4,158.2,34.4,1.0,0.2,2.4,64.8,40.2,2.2,2.2,4.4,5.6,0.4,0.6,1.2,0.0,1.6,34.2,19.8,21.0,0.0,1.2,14.8,14.8,14.8,0.0,95.0,43.2,9.4,1.8,76.8,43.2,0.4,0.4,46.8
885,2022-01-09 18:00:00+00:00,2523,401326591,Colts,0.5862068965517241,185.0,6.4,1.0,1.0,0.1304347826086956,0.1304347826086956,74.6,18.0,94.0,10.8,0.0,33.0,17.0,185.0,77.2,1.0,111.0,29.0,3.0,1.0,2.0,66.0,38.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,99.0,33.0,41.0,0.0,1.0,7.0,7.0,7.0,0.0,100.0,41.0,3.0,2.0,78.0,39.0,0.0,0.0,45.0,7 days 00:00:00,0.5931192051881707,154.6,6.380000000000001,1.2,0.4,0.18465838509316768,0.18465838509316768,86.34,32.8,161.2,21.52,1.0,63.4,14.4,154.6,73.88,1.2,98.0,23.0,1.0,0.4,0.6,59.4,41.2,1.6,2.6,3.8,5.2,0.2,1.0,6.4,0.0,1.6,39.6,22.1,23.8,0.0,1.2,8.8,2.88,4.6,0.0,76.8,38.4,7.0,3.0,125.4,41.339999999999996,0.0,1.4,46.6
