,season,week,awayteam,hometeam,idgame,winner_home,home_coach,away_coach,weather_type,temperature,humidity,wind,streak_away,pass_yds_MA_5_away,pass_td_MA_5_away,rush_yds_MA_5_away,rush_td_MA_5_away,rec_yds_MA_5_away,rec_td_MA_5_away,fumbles_MA_5_away,fumbles_rec_MA_5_away,defense_sacks_MA_5_away,defense_td_MA_5_away,interceptions_MA_5_away,interceptions_td_MA_5_away,kicks_return_yds_MA_5_away,kicks_return_td_MA_5_away,punt_return_yds_MA_5_away,kicking_pts_MA_5_away,streak_home,pass_yds_MA_5_home,pass_td_MA_5_home,rush_yds_MA_5_home,rush_td_MA_5_home,rec_yds_MA_5_home,rec_td_MA_5_home,fumbles_MA_5_home,fumbles_rec_MA_5_home,defense_sacks_MA_5_home,defense_td_MA_5_home,interceptions_MA_5_home,interceptions_td_MA_5_home,kicks_return_yds_MA_5_home,kicks_return_td_MA_5_home,punt_return_yds_MA_5_home,kicking_pts_MA_5_home,delta_day_away,delta_day_home,stade,location,people,month,dayofmonth,dayofweek
0,2017,13,Vikings,Falcons,400951677,0,Dan Quinn,Mike Zimmer,,,,,7.0,268.4,1.8,133.2,1.4,268.4,1.8,0.2,0.8,2.8,0.0,0.4,0.0,29.4,0.0,26.0,10.2,3.0,269.0,2.0,112.4,0.8,269.0,2.0,1.6,1.2,3.2,0.2,0.2,0.0,63.0,0.0,10.4,9.4,10.0,7.0,Mercedes-Benz Stadium,"Atlanta, GA",95.0,12,3,6
1,2017,9,Falcons,Panthers,400951749,1,Ron Rivera,Dan Quinn,cloudy,61.0,86.0,4.0,1.0,254.2,1.4,131.6,0.6,254.2,1.4,1.6,0.2,2.0,0.0,0.2,0.0,59.4,0.0,12.4,7.2,1.0,255.0,1.6,91.2,0.6,255.0,1.6,1.0,0.6,3.8,0.0,0.4,0.0,53.2,0.0,22.4,7.4,7.0,7.0,Bank of America Stadium,"Charlotte, NC",100.0,11,5,6
2,2017,9,Bengals,Jaguars,400951753,1,Doug Marrone,Marvin Lewis,,78.0,74.0,12.0,1.0,241.8,2.2,78.0,0.2,241.8,2.2,2.2,0.0,3.6,0.4,0.8,0.4,39.0,0.0,31.2,5.8,1.0,210.0,1.4,185.8,1.2,210.0,1.4,1.0,0.6,4.4,0.6,1.6,0.4,9.2,0.0,0.4,8.4,7.0,14.0,TIAA Bank Field,"Jacksonville, FL",89.0,11,5,6
3,2017,4,Bears,Packers,400951678,1,Mike McCarthy,John Fox,cloudy,65.0,62.0,5.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,4.0,Lambeau Field,"Green Bay, WI",97.0,9,29,4
4,2017,9,Colts,Texans,400951751,0,Bill O'Brien,Chuck Pagano,cloudy,84.0,62.0,10.0,-3.0,223.2,0.8,110.6,0.6,223.2,0.8,1.6,0.8,2.0,0.2,0.6,0.2,73.8,0.0,3.8,7.8,-1.0,294.4,3.6,141.4,0.6,294.4,3.6,0.8,0.4,2.8,0.6,1.6,0.4,56.4,0.0,31.4,9.0,7.0,6.0,NRG Stadium,"Houston, TX",100.0,11,5,6
5,2017,13,Steelers,Bengals,400951754,0,Marvin Lewis,Mike Tomlin,cloudy,,61.0,,6.0,294.2,2.6,100.2,0.2,294.2,2.6,0.8,0.2,3.6,0.0,1.4,0.0,27.6,0.0,9.2,10.4,2.0,202.4,1.8,68.2,0.6,202.4,1.8,1.6,0.4,3.0,0.2,0.6,0.2,40.8,0.0,21.8,4.6,8.0,8.0,Paycor Stadium,"Cincinnati, OH",86.0,12,5,1
6,2017,13,Eagles,Seahawks,400951746,1,Pete Carroll,Doug Pederson,cloudy,44.0,78.0,3.0,9.0,225.8,3.0,165.4,1.2,225.8,3.0,1.4,0.2,3.4,0.4,2.0,0.2,15.4,0.0,15.0,6.8,1.0,293.8,2.4,96.4,0.4,293.8,2.4,1.0,0.6,3.4,0.2,0.8,0.2,69.0,0.0,16.0,7.2,7.0,7.0,Lumen Field,"Seattle, WA",100.0,12,4,0
7,2017,13,Rams,Cardinals,400951733,0,Bruce Arians,Sean McVay,,,,,1.0,297.2,2.0,119.2,1.0,297.2,2.0,0.6,0.8,2.2,0.0,1.0,0.0,47.4,0.0,37.6,12.0,1.0,232.0,1.6,76.4,0.2,232.0,1.6,1.2,0.8,3.0,0.0,0.8,0.0,36.0,0.0,29.2,5.6,7.0,7.0,State Farm Stadium,"Glendale, AZ",98.0,12,3,6
8,2017,9,Cardinals,49ers,400951763,0,Kyle Shanahan,Bruce Arians,sunny,61.0,48.0,8.0,-1.0,288.8,1.4,63.2,0.4,288.8,1.4,1.0,0.0,1.6,0.0,1.0,0.0,37.6,0.0,6.4,5.2,-8.0,253.6,0.8,88.6,0.6,253.6,0.8,1.4,0.2,2.8,0.0,0.8,0.0,39.6,0.0,19.8,8.0,14.0,7.0,Levi's Stadium,"Santa Clara, CA",100.0,11,5,6
9,2017,9,Washington,Seahawks,400951765,0,Pete Carroll,Jay Gruden,rain,36.0,86.0,11.0,,,,,,,,,,,,,,,,,,4.0,330.4,2.8,92.4,0.4,330.4,2.8,1.0,0.8,2.2,0.6,1.2,0.4,21.2,0.0,17.4,7.6,,7.0,Lumen Field,"Seattle, WA",100.0,11,5,6
10,2017,9,Chiefs,Cowboys,400951786,1,Jason Garrett,Andy Reid,,,,,1.0,281.4,1.8,99.2,0.2,281.4,1.8,1.2,0.8,1.4,0.4,0.8,0.0,47.4,0.0,27.0,13.0,2.0,213.0,2.2,177.0,1.8,213.0,2.2,1.0,1.2,4.0,0.2,0.2,0.2,25.4,0.0,12.2,7.2,5.0,7.0,AT&T Stadium,"Arlington, TX",93.0,11,5,6
11,2017,13,Panthers,Saints,400951722,1,Sean Payton,Ron Rivera,sunny,69.0,66.0,7.0,4.0,184.8,1.0,169.6,1.4,184.8,1.0,1.2,0.4,2.4,0.2,0.8,0.0,45.8,0.0,29.2,6.8,-1.0,275.4,1.0,166.6,2.2,275.4,1.0,1.6,0.2,2.8,0.0,0.6,0.0,30.6,0.0,14.8,9.4,7.0,7.0,Caesars Superdome,"New Orleans, LA",100.0,12,3,6
12,2017,13,Giants,Raiders,400951740,1,Jack Del Rio,Ben McAdoo,sunny,58.0,51.0,11.0,-1.0,189.0,1.0,93.4,0.2,189.0,1.0,1.2,0.4,1.6,0.2,1.0,0.2,27.6,0.0,3.2,4.6,1.0,304.0,1.6,87.8,1.0,304.0,1.6,1.8,0.2,1.6,0.0,0.2,0.0,33.8,0.0,11.4,4.2,9.0,7.0,Oakland Coliseum,"Oakland, CA",98.0,12,3,6
13,2017,13,Browns,Chargers,400951731,1,Anthony Lynn,Hue Jackson,sunny,68.0,63.0,7.0,-11.0,219.6,0.4,120.2,1.0,219.6,0.4,2.0,0.4,2.0,0.0,0.4,0.0,72.4,0.0,11.8,6.0,2.0,269.6,2.0,110.2,0.6,269.6,2.0,1.2,0.6,2.8,0.6,2.0,0.4,32.8,0.0,18.4,6.2,7.0,9.0,Dignity Health Sports Park,"Carson, CA",94.0,12,3,6
14,2017,9,Raiders,Dolphins,400951787,0,Adam Gase,Jack Del Rio,,77.0,82.0,2.0,-1.0,261.8,1.4,76.6,0.8,261.8,1.4,1.6,0.2,1.2,0.0,0.0,0.0,54.2,0.0,8.8,4.4,-1.0,181.8,1.4,78.8,0.0,181.8,1.4,0.8,0.6,2.4,0.2,0.4,0.0,39.0,0.0,20.4,3.8,7.0,10.0,Hard Rock Stadium,"Miami Gardens, FL",100.0,11,6,0
15,2017,13,Lions,Ravens,400951680,1,John Harbaugh,Jim Caldwell,sunny,53.0,70.0,4.0,-1.0,316.4,1.8,71.4,0.4,316.4,1.8,1.4,0.6,2.0,0.4,0.4,0.0,31.2,0.0,27.8,11.0,2.0,186.0,1.2,101.6,0.6,186.0,1.2,1.2,0.6,2.8,0.4,1.8,0.4,49.2,0.0,11.8,10.0,10.0,5.0,M&T Bank Stadium,"Baltimore, MD",100.0,12,3,6
16,2017,13,Colts,Jaguars,400951713,1,Doug Marrone,Chuck Pagano,,7.0,74.0,7.0,-2.0,231.8,1.2,92.6,0.2,231.8,1.2,1.0,1.0,1.4,0.0,0.6,0.0,29.2,0.0,12.2,6.8,-1.0,235.2,0.8,140.4,1.0,235.2,0.8,2.4,1.0,3.6,0.4,0.8,0.0,29.6,0.0,34.0,7.8,7.0,6.0,TIAA Bank Field,"Jacksonville, FL",90.0,12,3,6
17,2017,13,Chiefs,Jets,400951726,1,Todd Bowles,Andy Reid,cloudy,48.0,64.0,0.0,-3.0,247.2,1.4,86.0,0.0,247.2,1.4,0.6,0.4,1.2,0.2,0.8,0.0,65.8,0.0,6.0,9.4,-2.0,235.0,2.0,98.8,0.8,235.0,2.0,1.8,1.0,3.0,0.0,0.6,0.0,49.4,0.0,9.6,7.0,7.0,7.0,MetLife Stadium,"East Rutherford, NJ",94.0,12,3,6
18,2017,13,Broncos,Dolphins,400951718,1,Adam Gase,Vance Joseph,cloudy,8.0,58.0,11.0,-7.0,214.2,1.2,99.6,0.4,214.2,1.2,1.2,0.6,1.6,0.2,0.2,0.0,64.6,0.0,13.6,7.0,-5.0,256.0,1.6,76.2,0.2,256.0,1.6,1.6,0.4,0.6,0.2,0.4,0.0,64.4,0.0,6.0,4.0,6.0,7.0,Hard Rock Stadium,"Miami Gardens, FL",100.0,12,3,6
19,2017,13,Texans,Titans,400951728,1,Mike Mularkey,Bill O'Brien,sunny,6.0,39.0,4.0,-1.0,264.8,1.6,105.0,0.8,264.8,1.6,2.2,0.2,2.2,0.2,0.6,0.0,35.0,0.0,15.6,5.6,1.0,235.0,1.0,95.0,1.0,235.0,1.0,0.4,0.6,3.2,0.0,1.0,0.0,38.6,0.0,15.2,7.2,5.0,7.0,Nissan Stadium,"Nashville, TN",91.0,12,3,6
20,2017,13,Buccaneers,Packers,400951710,1,Mike McCarthy,Dirk Koetter,cloudy,42.0,67.0,8.0,-1.0,218.0,0.8,81.8,0.4,218.0,0.8,0.6,1.2,1.6,0.0,1.0,0.0,21.8,0.0,15.6,7.2,-2.0,205.6,0.8,114.8,1.2,205.6,0.8,1.2,0.4,2.2,0.0,1.0,0.0,70.0,0.0,10.2,5.0,7.0,6.0,Lambeau Field,"Green Bay, WI",96.0,12,3,6
21,2017,4,Saints,Dolphins,400950241,0,Adam Gase,Sean Payton,,63.0,64.0,13.0,1.0,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,6.0,6.0,Wembley Stadium,London,98.0,10,1,6
22,2017,4,Bills,Falcons,400951685,0,Dan Quinn,Sean McDermott,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,7.0,7.0,Mercedes-Benz Stadium,"Atlanta, GA",95.0,10,1,6
23,2017,4,Bengals,Browns,400951712,0,Hue Jackson,Marvin Lewis,sunny,63.0,37.0,6.0,-3.0,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,6.0,7.0,FirstEnergy Stadium,"Cleveland, OH",100.0,10,1,6
24,2017,13,49ers,Bears,400951707,0,John Fox,Kyle Shanahan,sunny,54.0,44.0,6.0,-1.0,240.6,0.8,106.0,0.8,240.6,0.8,1.4,0.4,1.2,0.0,0.6,0.0,29.0,0.0,14.0,5.2,-4.0,178.8,0.4,101.6,0.6,178.8,0.4,0.8,1.4,2.8,0.4,0.4,0.2,73.6,0.0,6.2,6.0,6.0,7.0,Soldier Field,"Chicago, IL",100.0,12,3,6
25,2017,13,Patriots,Bills,400951684,0,Sean McDermott,Bill Belichick,cloudy,48.0,73.0,13.0,7.0,290.4,2.6,128.6,0.4,290.4,2.6,1.2,0.6,1.8,0.0,1.0,0.0,55.2,0.2,5.8,11.0,1.0,198.4,1.2,115.0,1.0,198.4,1.2,1.6,0.6,0.8,0.2,0.6,0.0,46.2,0.0,19.8,6.6,7.0,7.0,Highmark Stadium,"Orchard Park, NY",96.0,12,3,6
26,2017,6,Colts,Titans,400951785,1,Mike Mularkey,Chuck Pagano,,57.0,55.0,7.0,1.0,225.0,0.4,100.0,1.6,225.0,0.4,2.4,0.2,2.2,0.0,1.2,0.0,32.4,0.0,7.6,7.0,-2.0,190.8,0.8,124.8,1.4,190.8,0.8,0.6,0.4,1.6,0.0,0.8,0.0,38.8,0.0,25.6,8.8,8.0,8.0,Nissan Stadium,"Nashville, TN",92.0,10,17,1
27,2017,13,Washington,Cowboys,400951672,1,Jason Garrett,Jay Gruden,,58.0,56.0,3.0,,,,,,,,,,,,,,,,,,-3.0,178.4,0.4,119.6,1.2,178.4,0.4,1.0,0.4,1.4,0.2,0.6,0.2,65.2,0.0,6.2,5.8,,7.0,AT&T Stadium,"Arlington, TX",92.0,12,1,4
28,2017,9,Lions,Packers,400951790,0,Mike McCarthy,Jim Caldwell,cloudy,35.0,58.0,3.0,-3.0,287.4,1.2,71.0,0.4,287.4,1.2,1.4,1.0,1.4,0.4,1.2,0.4,19.4,0.0,28.6,9.8,-2.0,195.0,2.2,113.6,0.8,195.0,2.2,1.0,1.2,1.2,0.2,1.2,0.2,27.0,0.0,16.6,5.6,8.0,15.0,Lambeau Field,"Green Bay, WI",96.0,11,7,1
29,2017,12,Texans,Ravens,400951640,1,John Harbaugh,Bill O'Brien,fair,5.0,60.0,1.0,1.0,259.4,2.2,116.4,0.6,259.4,2.2,1.8,0.2,2.8,0.4,1.2,0.2,29.2,0.0,22.8,4.6,1.0,189.4,1.2,98.8,0.2,189.4,1.2,1.4,0.8,3.2,0.4,1.4,0.4,77.4,0.2,38.2,9.8,8.0,8.0,M&T Bank Stadium,"Baltimore, MD",99.0,11,28,1
30,2017,9,Broncos,Eagles,400951760,1,Doug Pederson,Vance Joseph,cloudy,61.0,89.0,5.0,-3.0,247.4,0.6,109.2,0.4,247.4,0.6,2.2,0.2,2.8,0.0,0.4,0.0,66.0,0.0,27.0,6.2,6.0,249.4,2.8,135.2,0.4,249.4,2.8,1.0,0.2,2.8,0.2,1.2,0.2,4.4,0.0,32.2,9.8,5.0,7.0,Lincoln Financial Field,"Philadelphia, PA",100.0,11,5,6
31,2017,9,Rams,Giants,400951758,0,Ben McAdoo,Sean McVay,cloudy,56.0,92.0,6.0,2.0,238.8,1.4,146.6,1.0,238.8,1.4,2.0,0.4,3.4,0.0,1.4,0.0,80.0,0.2,13.4,12.4,-1.0,228.2,1.8,97.2,0.4,228.2,1.8,1.0,0.6,1.8,0.2,0.6,0.2,36.6,0.0,11.6,5.0,14.0,13.0,MetLife Stadium,"East Rutherford, NJ",93.0,11,5,6
32,2017,9,Buccaneers,Saints,400951755,1,Sean Payton,Dirk Koetter,cloudy,79.0,67.0,1.0,-4.0,322.2,2.0,85.0,0.4,322.2,2.0,2.0,0.6,1.2,0.2,0.6,0.0,13.2,0.0,15.6,4.4,5.0,260.8,1.6,138.0,1.4,260.8,1.6,1.4,0.4,3.2,0.6,1.8,0.4,26.8,0.0,14.6,8.8,7.0,7.0,Caesars Superdome,"New Orleans, LA",100.0,11,5,6
33,2017,9,Ravens,Titans,400951761,1,Mike Mularkey,John Harbaugh,cloudy,75.0,66.0,10.0,1.0,188.8,0.8,117.6,0.4,188.8,0.8,1.8,0.6,2.2,0.6,0.8,0.4,85.2,0.2,32.0,9.0,2.0,198.4,0.8,119.6,1.0,198.4,0.8,0.8,0.4,1.4,0.0,1.0,0.0,36.6,0.0,20.6,10.2,9.0,14.0,Nissan Stadium,"Nashville, TN",97.0,11,5,6
34,2017,3,Saints,Panthers,400951587,0,Ron Rivera,Sean Payton,sunny,82.0,59.0,6.0,-1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,7.0,7.0,Bank of America Stadium,"Charlotte, NC",100.0,9,24,6
35,2017,3,Seahawks,Titans,400951623,1,Mike Mularkey,Pete Carroll,sunny,88.0,97.0,4.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,6.0,7.0,Nissan Stadium,"Nashville, TN",100.0,9,24,6
36,2017,3,Bengals,Packers,400951627,1,Mike McCarthy,Marvin Lewis,sunny,89.0,44.0,8.0,-2.0,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,9.0,6.0,Lambeau Field,"Green Bay, WI",97.0,9,24,6
37,2017,3,Chiefs,Chargers,400951634,0,Anthony Lynn,Andy Reid,sunny,84.0,25.0,5.0,2.0,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,7.0,7.0,Dignity Health Sports Park,"Carson, CA",94.0,9,24,6
38,2017,3,Raiders,Washington,400951644,1,Jay Gruden,Jack Del Rio,,76.0,75.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,FedExField,"Landover, MD",100.0,9,25,0
39,2017,3,Cowboys,Cardinals,400951668,0,Bruce Arians,Jason Garrett,indoor,,,,-1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,8.0,8.0,State Farm Stadium,"Glendale, AZ",100.0,9,26,1
40,2017,16,Colts,Ravens,400951596,1,John Harbaugh,Chuck Pagano,cloudy,63.0,78.0,14.0,-5.0,163.8,0.8,106.8,0.4,163.8,0.8,0.8,0.2,0.8,0.0,1.0,0.0,17.2,0.0,3.8,5.4,1.0,234.4,1.2,109.4,1.8,234.4,1.2,0.8,1.2,3.2,0.4,1.8,0.2,58.2,0.0,11.2,10.6,8.0,6.0,M&T Bank Stadium,"Baltimore, MD",100.0,12,23,5
41,2017,14,Patriots,Dolphins,400951696,1,Adam Gase,Bill Belichick,,55.0,59.0,7.0,8.0,292.2,2.2,134.4,0.8,292.2,2.2,1.0,0.6,2.4,0.0,1.2,0.0,55.8,0.2,8.2,11.0,1.0,267.8,2.0,96.2,0.4,267.8,2.0,1.8,0.4,1.2,0.4,1.0,0.2,72.8,0.0,16.2,5.4,8.0,8.0,Hard Rock Stadium,"Miami Gardens, FL",100.0,12,12,1
42,2017,14,Ravens,Steelers,400951694,1,Mike Tomlin,John Harbaugh,cloudy,33.0,55.0,12.0,3.0,202.6,1.4,109.0,1.0,202.6,1.4,0.8,0.8,3.4,0.6,2.0,0.6,42.6,0.0,17.4,10.8,7.0,298.6,2.6,88.2,0.2,298.6,2.6,0.8,0.2,3.2,0.0,1.0,0.0,32.0,0.0,9.2,9.2,7.0,6.0,Acrisure Stadium,"Pittsburgh, PA",88.0,12,11,0
43,2017,14,Seahawks,Jaguars,400951652,1,Doug Marrone,Pete Carroll,,54.0,,,2.0,248.8,2.2,110.0,0.4,248.8,2.2,0.8,0.6,3.0,0.0,0.4,0.0,72.0,0.0,14.4,6.2,1.0,236.8,1.0,122.0,0.8,236.8,1.0,2.0,1.0,2.4,0.4,1.2,0.0,38.8,0.0,34.0,8.0,6.0,7.0,TIAA Bank Field,"Jacksonville, FL",95.0,12,10,6
44,2017,14,Eagles,Rams,400951689,0,Sean McVay,Doug Pederson,cloudy,83.0,8.0,,-1.0,241.8,2.4,159.6,1.2,241.8,2.4,1.4,0.2,3.0,0.4,1.8,0.2,21.6,0.0,10.6,5.6,2.0,294.2,2.2,97.8,0.6,294.2,2.2,0.8,0.8,3.0,0.2,1.0,0.2,53.6,0.0,43.6,11.8,6.0,7.0,Los Angeles Memorial Coliseum,"Los Angeles, CA",87.0,12,10,6
