,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
0,2022,5,2022-10-06,Colts,Broncos,Empower Field at Mile High,"Denver, CO",0,0.597,0.403
1,2022,5,2022-10-09,Giants,Packers,Tottenham Hotspur Stadium,London,0,0.508,0.492
2,2022,5,2022-10-09,Steelers,Bills,Highmark Stadium,"Orchard Park, NY",0,0.597,0.403
3,2022,5,2022-10-09,Chargers,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.597,0.403
4,2022,5,2022-10-09,Bears,Vikings,U.S. Bank Stadium,"Minneapolis, MN",0,0.597,0.403
5,2022,5,2022-10-09,Lions,Patriots,Gillette Stadium,"Foxboro, MA",0,0.5864,0.4136
6,2022,5,2022-10-09,Seahawks,Saints,Caesars Superdome,"New Orleans, LA",0,0.6059,0.3941
7,2022,5,2022-10-09,Dolphins,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.597,0.403
8,2022,5,2022-10-09,Falcons,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.597,0.403
9,2022,5,2022-10-09,Titans,Washington,FedExField,"Landover, MD",0,0.597,0.403
10,2022,5,2022-10-09,Texans,Jaguars,TIAA Bank Field,"Jacksonville, FL",0,0.7391,0.2609
11,2022,5,2022-10-09,49ers,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.5926,0.4074
12,2022,5,2022-10-09,Cowboys,Rams,SoFi Stadium,"Inglewood, CA",0,0.597,0.403
13,2022,5,2022-10-09,Eagles,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.597,0.403
14,2022,5,2022-10-09,Bengals,Ravens,M&T Bank Stadium,"Baltimore, MD",1,0.4665,0.5335
15,2022,5,2022-10-10,Raiders,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",0,0.5836,0.4164
16,2022,6,2022-10-13,Washington,Bears,Soldier Field,"Chicago, IL",0,0.597,0.403
17,2022,6,2022-10-16,49ers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.6134,0.3866
18,2022,6,2022-10-16,Patriots,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.597,0.403
19,2022,6,2022-10-16,Jets,Packers,Lambeau Field,"Green Bay, WI",0,0.5041,0.4959
20,2022,6,2022-10-16,Jaguars,Colts,Lucas Oil Stadium,"Indianapolis, IN",1,0.4555,0.5445
21,2022,6,2022-10-16,Vikings,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",0,0.597,0.403
22,2022,6,2022-10-16,Bengals,Saints,Caesars Superdome,"New Orleans, LA",1,0.4757,0.5243
23,2022,6,2022-10-16,Ravens,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6159,0.3841
24,2022,6,2022-10-16,Buccaneers,Steelers,Acrisure Stadium,"Pittsburgh, PA",0,0.5188,0.4812
25,2022,6,2022-10-16,Panthers,Rams,SoFi Stadium,"Inglewood, CA",0,0.597,0.403
