,week,awayteam,hometeam,pred_winner_team,real_winner,team,abbr,moneyline,money_bet,good_predict,pocket
0,1,49ers,Lions,49ers,49ers,SF,SF,-385.0,100.0,Yes,125.97402597402598
1,1,Bears,Rams,Rams,Rams,LAR,LAR,-360.0,100.0,Yes,127.77777777777777
2,1,Broncos,Giants,Broncos,Broncos,DEN,DEN,-155.0,100.0,Yes,164.51612903225805
3,1,Browns,Chiefs,Browns,Chiefs,CLE,CLE,210.0,100.0,No,-100.0
4,1,Cardinals,Titans,Cardinals,Cardinals,ARI,ARI,135.0,100.0,Yes,235.0
5,1,Chargers,Washington,Chargers,Chargers,LAC,LAC,-100.0,100.0,Yes,200.0
6,1,Cowboys,Buccaneers,Buccaneers,Buccaneers,TB,TB,-445.0,100.0,Yes,122.47191011235955
7,1,Dolphins,Patriots,Dolphins,Dolphins,MIA,MIA,155.0,100.0,Yes,255.0
8,1,Eagles,Falcons,Eagles,Eagles,PHI,PHI,155.0,100.0,Yes,255.0
9,1,Jaguars,Texans,Texans,Texans,HOU,HOU,155.0,100.0,Yes,255.0
10,1,Jets,Panthers,Panthers,Panthers,CAR,CAR,-205.0,100.0,Yes,148.78048780487805
11,1,Packers,Saints,Packers,Saints,GB,GB,-185.0,100.0,No,-100.0
12,1,Ravens,Raiders,Ravens,Raiders,BAL,BAL,-200.0,100.0,No,-100.0
13,1,Seahawks,Colts,Colts,Seahawks,IND,IND,140.0,100.0,No,-100.0
14,1,Steelers,Bills,Bills,Steelers,BUF,BUF,-280.0,100.0,No,-100.0
15,1,Vikings,Bengals,Vikings,Bengals,MIN,MIN,-160.0,100.0,No,-100.0
16,2,49ers,Eagles,49ers,49ers,SF,SF,-150.0,100.0,Yes,166.66666666666669
17,2,Bengals,Bears,Bears,Bears,CHI,CHI,-135.0,100.0,Yes,174.07407407407408
18,2,Bills,Dolphins,Bills,Bills,BUF,BUF,-180.0,100.0,Yes,155.55555555555554
19,2,Broncos,Jaguars,Broncos,Broncos,DEN,DEN,-260.0,100.0,Yes,138.46153846153845
20,2,Chiefs,Ravens,Ravens,Ravens,BAL,BAL,170.0,100.0,Yes,270.0
21,2,Cowboys,Chargers,Cowboys,Cowboys,DAL,DAL,160.0,100.0,Yes,260.0
22,2,Falcons,Buccaneers,Buccaneers,Buccaneers,TB,TB,-705.0,100.0,Yes,114.18439716312056
23,2,Giants,Washington,Washington,Washington,WAS,WAS,-200.0,100.0,Yes,150.0
24,2,Lions,Packers,Packers,Packers,GB,GB,-550.0,100.0,Yes,118.18181818181819
25,2,Patriots,Jets,Patriots,Patriots,NE,NE,-245.0,100.0,Yes,140.81632653061223
26,2,Raiders,Steelers,Raiders,Raiders,LV,LV,230.0,100.0,Yes,330.0
27,2,Rams,Colts,Rams,Rams,LAR,LAR,-190.0,100.0,Yes,152.6315789473684
28,2,Saints,Panthers,Saints,Panthers,NO,NO,-180.0,100.0,No,-100.0
29,2,Texans,Browns,Browns,Browns,CLE,CLE,-665.0,100.0,Yes,115.0375939849624
30,2,Titans,Seahawks,Titans,Titans,TEN,TEN,235.0,100.0,Yes,335.0
31,2,Vikings,Cardinals,Cardinals,Cardinals,ARI,ARI,-190.0,100.0,Yes,152.6315789473684
32,3,Bears,Browns,Browns,Browns,CLE,CLE,-330.0,100.0,Yes,130.3030303030303
33,3,Bengals,Steelers,Steelers,Bengals,PIT,PIT,-155.0,100.0,No,-100.0
34,3,Buccaneers,Rams,Rams,Rams,LAR,LAR,105.0,100.0,Yes,205.0
35,3,Cardinals,Jaguars,Cardinals,Cardinals,ARI,ARI,-350.0,100.0,Yes,128.57142857142858
36,3,Chargers,Chiefs,Chargers,Chargers,LAC,LAC,255.0,100.0,Yes,355.0
37,3,Colts,Titans,Titans,Titans,TEN,TEN,-245.0,100.0,Yes,140.81632653061223
38,3,Dolphins,Raiders,Raiders,Raiders,LV,LV,-190.0,100.0,Yes,152.6315789473684
39,3,Eagles,Cowboys,Cowboys,Cowboys,DAL,DAL,-185.0,100.0,Yes,154.05405405405406
40,3,Falcons,Giants,Falcons,Falcons,ATL,ATL,130.0,100.0,Yes,230.0
41,3,Jets,Broncos,Broncos,Broncos,DEN,DEN,-580.0,100.0,Yes,117.24137931034483
42,3,Packers,49ers,49ers,Packers,SF,SF,-165.0,100.0,No,-100.0
43,3,Panthers,Texans,Panthers,Panthers,CAR,CAR,-420.0,100.0,Yes,123.80952380952381
44,3,Ravens,Lions,Ravens,Ravens,BAL,BAL,-405.0,100.0,Yes,124.69135802469135
45,3,Saints,Patriots,Saints,Saints,NO,NO,130.0,100.0,Yes,230.0
46,3,Seahawks,Vikings,Vikings,Vikings,MIN,MIN,105.0,100.0,Yes,205.0
47,3,Washington,Bills,Bills,Bills,BUF,BUF,-350.0,100.0,Yes,128.57142857142858
48,4,Browns,Vikings,Browns,Browns,CLE,CLE,-130.0,100.0,Yes,176.9230769230769
49,4,Buccaneers,Patriots,Patriots,Buccaneers,NE,NE,260.0,100.0,No,-100.0
