,week,awayteam,hometeam,pred_winner_team,real_winner,team,abbr,moneyline,money_bet,good_predict,pocket
0,1,49ers,Lions,49ers,49ers,SF,SF,-385,100,Yes,125.97402597402598
1,1,Bears,Rams,Rams,Rams,LAR,LAR,-360,100,Yes,127.77777777777777
2,1,Broncos,Giants,Broncos,Broncos,DEN,DEN,-155,100,Yes,164.51612903225805
3,1,Browns,Chiefs,Chiefs,Chiefs,KC,KC,-245,100,Yes,140.81632653061223
4,1,Cardinals,Titans,Titans,Cardinals,TEN,TEN,-155,100,No,-100.0
5,1,Chargers,Washington,Chargers,Chargers,LAC,LAC,-100,100,Yes,200.0
6,1,Cowboys,Buccaneers,Buccaneers,Buccaneers,TB,TB,-445,100,Yes,122.47191011235955
7,1,Dolphins,Patriots,Patriots,Dolphins,NE,NE,-175,100,No,-100.0
8,1,Eagles,Falcons,Falcons,Eagles,ATL,ATL,-175,100,No,-100.0
9,1,Jaguars,Texans,Texans,Texans,HOU,HOU,155,100,Yes,255.0
10,1,Jets,Panthers,Panthers,Panthers,CAR,CAR,-205,100,Yes,148.78048780487805
11,1,Packers,Saints,Saints,Saints,NO,NO,160,100,Yes,260.0
12,1,Ravens,Raiders,Ravens,Raiders,BAL,BAL,-200,100,No,-100.0
13,1,Seahawks,Colts,Colts,Seahawks,IND,IND,140,100,No,-100.0
14,1,Steelers,Bills,Bills,Steelers,BUF,BUF,-280,100,No,-100.0
15,1,Vikings,Bengals,Vikings,Bengals,MIN,MIN,-160,100,No,-100.0
16,2,49ers,Eagles,Eagles,49ers,PHI,PHI,135,100,No,-100.0
17,2,Bengals,Bears,Bears,Bears,CHI,CHI,-135,100,Yes,174.07407407407408
18,2,Bills,Dolphins,Bills,Bills,BUF,BUF,-180,100,Yes,155.55555555555554
19,2,Broncos,Jaguars,Jaguars,Broncos,JAX,JAX,225,100,No,-100.0
20,2,Chiefs,Ravens,Ravens,Ravens,BAL,BAL,170,100,Yes,270.0
21,2,Cowboys,Chargers,Chargers,Cowboys,LAC,LAC,-180,100,No,-100.0
22,2,Falcons,Buccaneers,Buccaneers,Buccaneers,TB,TB,-705,100,Yes,114.18439716312056
23,2,Giants,Washington,Washington,Washington,WAS,WAS,-200,100,Yes,150.0
24,2,Lions,Packers,Packers,Packers,GB,GB,-550,100,Yes,118.18181818181819
25,2,Patriots,Jets,Patriots,Patriots,NE,NE,-245,100,Yes,140.81632653061223
26,2,Raiders,Steelers,Raiders,Raiders,LV,LV,230,100,Yes,330.0
27,2,Rams,Colts,Colts,Rams,IND,IND,165,100,No,-100.0
28,2,Saints,Panthers,Saints,Panthers,NO,NO,-180,100,No,-100.0
29,2,Texans,Browns,Texans,Browns,HOU,HOU,500,100,No,-100.0
30,2,Titans,Seahawks,Seahawks,Titans,SEA,SEA,-270,100,No,-100.0
31,2,Vikings,Cardinals,Cardinals,Cardinals,ARI,ARI,-190,100,Yes,152.6315789473684
32,3,Bears,Browns,Browns,Browns,CLE,CLE,-330,100,Yes,130.3030303030303
33,3,Bengals,Steelers,Steelers,Bengals,PIT,PIT,-155,100,No,-100.0
34,3,Buccaneers,Rams,Buccaneers,Rams,TB,TB,-125,100,No,-100.0
35,3,Cardinals,Jaguars,Cardinals,Cardinals,ARI,ARI,-350,100,Yes,128.57142857142858
36,3,Chargers,Chiefs,Chargers,Chargers,LAC,LAC,255,100,Yes,355.0
37,3,Colts,Titans,Titans,Titans,TEN,TEN,-245,100,Yes,140.81632653061223
38,3,Dolphins,Raiders,Raiders,Raiders,LV,LV,-190,100,Yes,152.6315789473684
39,3,Eagles,Cowboys,Eagles,Cowboys,PHI,PHI,165,100,No,-100.0
40,3,Falcons,Giants,Falcons,Falcons,ATL,ATL,130,100,Yes,230.0
41,3,Jets,Broncos,Broncos,Broncos,DEN,DEN,-580,100,Yes,117.24137931034483
42,3,Packers,49ers,49ers,Packers,SF,SF,-165,100,No,-100.0
43,3,Panthers,Texans,Panthers,Panthers,CAR,CAR,-420,100,Yes,123.80952380952381
44,3,Ravens,Lions,Ravens,Ravens,BAL,BAL,-405,100,Yes,124.69135802469135
45,3,Saints,Patriots,Saints,Saints,NO,NO,130,100,Yes,230.0
46,3,Seahawks,Vikings,Vikings,Vikings,MIN,MIN,105,100,Yes,205.0
47,3,Washington,Bills,Bills,Bills,BUF,BUF,-350,100,Yes,128.57142857142858
48,4,Browns,Vikings,Vikings,Browns,MIN,MIN,115,100,No,-100.0
49,4,Buccaneers,Patriots,Patriots,Buccaneers,NE,NE,260,100,No,-100.0
50,4,Cardinals,Rams,Rams,Cardinals,LAR,LAR,-210,100,No,-100.0
51,4,Chiefs,Eagles,Chiefs,Chiefs,KC,KC,-315,100,Yes,131.74603174603175
52,4,Colts,Dolphins,Dolphins,Colts,MIA,MIA,-130,100,No,-100.0
53,4,Giants,Saints,Saints,Giants,NO,NO,-335,100,No,-100.0
54,4,Jaguars,Bengals,Bengals,Bengals,CIN,CIN,-330,100,Yes,130.3030303030303
55,4,Lions,Bears,Bears,Bears,CHI,CHI,-145,100,Yes,168.9655172413793
56,4,Panthers,Cowboys,Cowboys,Cowboys,DAL,DAL,-205,100,Yes,148.78048780487805
57,4,Raiders,Chargers,Chargers,Chargers,LAC,LAC,-165,100,Yes,160.60606060606062
58,4,Ravens,Broncos,Broncos,Ravens,DEN,DEN,-105,100,No,-100.0
59,4,Seahawks,49ers,49ers,Seahawks,SF,SF,-150,100,No,-100.0
60,4,Steelers,Packers,Packers,Packers,GB,GB,-290,100,Yes,134.48275862068965
61,4,Texans,Bills,Bills,Bills,BUF,BUF,-1495,100,Yes,106.68896321070234
62,4,Titans,Jets,Titans,Jets,TEN,TEN,-310,100,No,-100.0
63,4,Washington,Falcons,Washington,Washington,WAS,WAS,-120,100,Yes,183.33333333333331
64,5,49ers,Cardinals,Cardinals,Cardinals,ARI,ARI,-220,100,Yes,145.45454545454544
65,5,Bears,Raiders,Raiders,Bears,LV,LV,-240,100,No,-100.0
66,5,Bills,Chiefs,Chiefs,Bills,KC,KC,-145,100,No,-100.0
67,5,Broncos,Steelers,Steelers,Steelers,PIT,PIT,-110,100,Yes,190.9090909090909
68,5,Browns,Chargers,Browns,Chargers,CLE,CLE,115,100,No,-100.0
69,5,Colts,Ravens,Ravens,Ravens,BAL,BAL,-315,100,Yes,131.74603174603175
70,5,Dolphins,Buccaneers,Buccaneers,Buccaneers,TB,TB,-475,100,Yes,121.05263157894737
71,5,Eagles,Panthers,Eagles,Eagles,PHI,PHI,140,100,Yes,240.0
72,5,Giants,Cowboys,Cowboys,Cowboys,DAL,DAL,-315,100,Yes,131.74603174603175
73,5,Jets,Falcons,Falcons,Falcons,ATL,ATL,-140,100,Yes,171.42857142857144
74,5,Lions,Vikings,Vikings,Vikings,MIN,MIN,-450,100,Yes,122.22222222222223
75,5,Packers,Bengals,Bengals,Packers,CIN,CIN,135,100,No,-100.0
76,5,Patriots,Texans,Patriots,Patriots,NE,NE,-410,100,Yes,124.39024390243902
77,5,Rams,Seahawks,Seahawks,Rams,SEA,SEA,130,100,No,-100.0
78,5,Saints,Washington,Saints,Saints,NO,NO,-140,100,Yes,171.42857142857144
79,5,Titans,Jaguars,Titans,Titans,TEN,TEN,-205,100,Yes,148.78048780487805
80,6,Bengals,Lions,Bengals,Bengals,CIN,CIN,-180,100,Yes,155.55555555555554
81,6,Bills,Titans,Titans,Titans,TEN,TEN,210,100,Yes,310.0
82,6,Buccaneers,Eagles,Eagles,Buccaneers,PHI,PHI,250,100,No,-100.0
83,6,Cardinals,Browns,Browns,Cardinals,CLE,CLE,-180,100,No,-100.0
84,6,Chargers,Ravens,Chargers,Ravens,LAC,LAC,125,100,No,-100.0
85,6,Chiefs,Washington,Chiefs,Chiefs,KC,KC,-290,100,Yes,134.48275862068965
86,6,Cowboys,Patriots,Patriots,Cowboys,NE,NE,155,100,No,-100.0
87,6,Dolphins,Jaguars,Jaguars,Jaguars,JAX,JAX,140,100,Yes,240.0
88,6,Packers,Bears,Packers,Packers,GB,GB,-230,100,Yes,143.47826086956522
89,6,Raiders,Broncos,Broncos,Raiders,DEN,DEN,-185,100,No,-100.0
90,6,Rams,Giants,Rams,Rams,LAR,LAR,-450,100,Yes,122.22222222222223
91,6,Seahawks,Steelers,Steelers,Steelers,PIT,PIT,-225,100,Yes,144.44444444444446
92,6,Texans,Colts,Colts,Colts,IND,IND,-445,100,Yes,122.47191011235955
93,6,Vikings,Panthers,Panthers,Vikings,CAR,CAR,120,100,No,-100.0
94,7,Bears,Buccaneers,Buccaneers,Buccaneers,TB,TB,-750,100,Yes,113.33333333333333
95,7,Bengals,Ravens,Ravens,Bengals,BAL,BAL,-280,100,No,-100.0
96,7,Broncos,Browns,Browns,Browns,CLE,CLE,-125,100,Yes,180.0
97,7,Chiefs,Titans,Chiefs,Titans,KC,KC,-220,100,No,-100.0
98,7,Colts,49ers,49ers,Colts,SF,SF,-205,100,No,-100.0
99,7,Eagles,Raiders,Raiders,Raiders,LV,LV,-155,100,Yes,164.51612903225805
100,7,Falcons,Dolphins,Falcons,Falcons,ATL,ATL,-135,100,Yes,174.07407407407408
101,7,Jets,Patriots,Patriots,Patriots,NE,NE,-310,100,Yes,132.25806451612902
102,7,Lions,Rams,Rams,Rams,LAR,LAR,-1105,100,Yes,109.0497737556561
103,7,Panthers,Giants,Panthers,Giants,CAR,CAR,-155,100,No,-100.0
104,7,Saints,Seahawks,Saints,Saints,NO,NO,-225,100,Yes,144.44444444444446
105,7,Texans,Cardinals,Cardinals,Cardinals,ARI,ARI,-1485,100,Yes,106.73400673400674
106,7,Washington,Packers,Packers,Packers,GB,GB,-375,100,Yes,126.66666666666667
107,8,49ers,Bears,Bears,49ers,CHI,CHI,175,100,No,-100.0
108,8,Bengals,Jets,Bengals,Jets,CIN,CIN,-530,100,No,-100.0
109,8,Buccaneers,Saints,Saints,Saints,NO,NO,185,100,Yes,285.0
110,8,Cowboys,Vikings,Vikings,Cowboys,MIN,MIN,-140,100,No,-100.0
111,8,Dolphins,Bills,Bills,Bills,BUF,BUF,-885,100,Yes,111.29943502824858
112,8,Eagles,Lions,Eagles,Eagles,PHI,PHI,-180,100,Yes,155.55555555555554
113,8,Giants,Chiefs,Chiefs,Chiefs,KC,KC,-440,100,Yes,122.72727272727272
114,8,Jaguars,Seahawks,Jaguars,Seahawks,JAX,JAX,160,100,No,-100.0
115,8,Packers,Cardinals,Packers,Packers,GB,GB,235,100,Yes,335.0
116,8,Panthers,Falcons,Falcons,Panthers,ATL,ATL,-160,100,No,-100.0
117,8,Patriots,Chargers,Patriots,Patriots,NE,NE,180,100,Yes,280.0
118,8,Rams,Texans,Rams,Rams,LAR,LAR,-1015,100,Yes,109.85221674876847
119,8,Steelers,Browns,Browns,Steelers,CLE,CLE,-190,100,No,-100.0
120,8,Titans,Colts,Titans,Titans,TEN,TEN,110,100,Yes,210.0
121,8,Washington,Broncos,Broncos,Broncos,DEN,DEN,-165,100,Yes,160.60606060606062
122,9,Bears,Steelers,Bears,Steelers,CHI,CHI,230,100,No,-100.0
123,9,Bills,Jaguars,Bills,Jaguars,BUF,BUF,-1000,100,No,-100.0
124,9,Broncos,Cowboys,Cowboys,Broncos,DAL,DAL,-465,100,No,-100.0
125,9,Browns,Bengals,Browns,Browns,CLE,CLE,115,100,Yes,215.0
126,9,Cardinals,49ers,49ers,Cardinals,SF,SF,-125,100,No,-100.0
127,9,Chargers,Eagles,Eagles,Chargers,PHI,PHI,110,100,No,-100.0
128,9,Falcons,Saints,Saints,Falcons,NO,NO,-285,100,No,-100.0
129,9,Jets,Colts,Colts,Colts,IND,IND,-500,100,Yes,120.0
130,9,Packers,Chiefs,Packers,Chiefs,GB,GB,285,100,No,-100.0
131,9,Patriots,Panthers,Patriots,Patriots,NE,NE,-185,100,Yes,154.05405405405406
132,9,Raiders,Giants,Raiders,Giants,LV,LV,-165,100,No,-100.0
133,9,Texans,Dolphins,Texans,Dolphins,HOU,HOU,205,100,No,-100.0
134,9,Titans,Rams,Rams,Titans,LAR,LAR,-355,100,No,-100.0
135,9,Vikings,Ravens,Ravens,Ravens,BAL,BAL,-255,100,Yes,139.2156862745098
136,10,Bills,Jets,Bills,Bills,BUF,BUF,-645,100,Yes,115.50387596899225
137,10,Browns,Patriots,Patriots,Patriots,NE,NE,-135,100,Yes,174.07407407407408
138,10,Buccaneers,Washington,Buccaneers,Washington,TB,TB,-435,100,No,-100.0
139,10,Chiefs,Raiders,Chiefs,Chiefs,KC,KC,-140,100,Yes,171.42857142857144
140,10,Eagles,Broncos,Broncos,Eagles,DEN,DEN,-145,100,No,-100.0
141,10,Falcons,Cowboys,Falcons,Cowboys,ATL,ATL,330,100,No,-100.0
142,10,Jaguars,Colts,Colts,Colts,IND,IND,-465,100,Yes,121.50537634408602
143,10,Panthers,Cardinals,Cardinals,Panthers,ARI,ARI,-480,100,No,-100.0
144,10,Rams,49ers,Rams,49ers,LAR,LAR,-200,100,No,-100.0
145,10,Ravens,Dolphins,Ravens,Dolphins,BAL,BAL,-410,100,No,-100.0
146,10,Saints,Titans,Saints,Titans,NO,NO,130,100,No,-100.0
147,10,Seahawks,Packers,Packers,Packers,GB,GB,-175,100,Yes,157.14285714285714
148,10,Vikings,Chargers,Chargers,Vikings,LAC,LAC,-165,100,No,-100.0
149,11,49ers,Jaguars,49ers,49ers,SF,SF,-280,100,Yes,135.71428571428572
150,11,Bengals,Raiders,Raiders,Bengals,LV,LV,-100,100,No,-100.0
151,11,Cardinals,Seahawks,Cardinals,Cardinals,ARI,ARI,-130,100,Yes,176.9230769230769
152,11,Colts,Bills,Bills,Colts,BUF,BUF,-325,100,No,-100.0
153,11,Cowboys,Chiefs,Cowboys,Chiefs,DAL,DAL,120,100,No,-100.0
154,11,Dolphins,Jets,Dolphins,Dolphins,MIA,MIA,-180,100,Yes,155.55555555555554
155,11,Giants,Buccaneers,Buccaneers,Buccaneers,TB,TB,-515,100,Yes,119.41747572815534
156,11,Lions,Browns,Browns,Browns,CLE,CLE,-535,100,Yes,118.69158878504673
157,11,Packers,Vikings,Vikings,Vikings,MIN,MIN,105,100,Yes,205.0
158,11,Patriots,Falcons,Patriots,Patriots,NE,NE,-310,100,Yes,132.25806451612902
159,11,Ravens,Bears,Ravens,Ravens,BAL,BAL,-220,100,Yes,145.45454545454544
160,11,Saints,Eagles,Saints,Eagles,NO,NO,110,100,No,-100.0
161,11,Steelers,Chargers,Steelers,Chargers,PIT,PIT,230,100,No,-100.0
162,11,Texans,Titans,Titans,Texans,TEN,TEN,-455,100,No,-100.0
163,11,Washington,Panthers,Panthers,Washington,CAR,CAR,-170,100,No,-100.0
164,12,Bears,Lions,Bears,Bears,CHI,CHI,-140,100,Yes,171.42857142857144
165,12,Bills,Saints,Saints,Bills,NO,NO,225,100,No,-100.0
166,12,Browns,Ravens,Ravens,Ravens,BAL,BAL,-185,100,Yes,154.05405405405406
167,12,Buccaneers,Colts,Colts,Buccaneers,IND,IND,140,100,No,-100.0
168,12,Chargers,Broncos,Chargers,Broncos,LAC,LAC,-145,100,No,-100.0
169,12,Eagles,Giants,Eagles,Giants,PHI,PHI,-170,100,No,-100.0
170,12,Falcons,Jaguars,Falcons,Falcons,ATL,ATL,-130,100,Yes,176.9230769230769
171,12,Jets,Texans,Texans,Jets,HOU,HOU,-140,100,No,-100.0
172,12,Panthers,Dolphins,Dolphins,Dolphins,MIA,MIA,110,100,Yes,210.0
173,12,Raiders,Cowboys,Cowboys,Raiders,DAL,DAL,-340,100,No,-100.0
174,12,Rams,Packers,Packers,Packers,GB,GB,-100,100,Yes,200.0
175,12,Seahawks,Washington,Washington,Washington,WAS,WAS,-115,100,Yes,186.95652173913044
176,12,Steelers,Bengals,Steelers,Bengals,PIT,PIT,170,100,No,-100.0
177,12,Titans,Patriots,Patriots,Patriots,NE,NE,-290,100,Yes,134.48275862068965
178,12,Vikings,49ers,49ers,49ers,SF,SF,-170,100,Yes,158.8235294117647
179,13,49ers,Seahawks,49ers,Seahawks,SF,SF,-170,100,No,-100.0
180,13,Broncos,Chiefs,Chiefs,Chiefs,KC,KC,-430,100,Yes,123.25581395348837
181,13,Buccaneers,Falcons,Buccaneers,Buccaneers,TB,TB,-520,100,Yes,119.23076923076923
182,13,Cardinals,Bears,Bears,Cardinals,CHI,CHI,285,100,No,-100.0
183,13,Chargers,Bengals,Bengals,Chargers,CIN,CIN,-165,100,No,-100.0
184,13,Colts,Texans,Colts,Colts,IND,IND,-440,100,Yes,122.72727272727272
185,13,Cowboys,Saints,Saints,Cowboys,NO,NO,230,100,No,-100.0
186,13,Eagles,Jets,Eagles,Eagles,PHI,PHI,-285,100,Yes,135.08771929824562
187,13,Giants,Dolphins,Dolphins,Dolphins,MIA,MIA,-200,100,Yes,150.0
188,13,Jaguars,Rams,Rams,Rams,LAR,LAR,-665,100,Yes,115.0375939849624
189,13,Patriots,Bills,Patriots,Patriots,NE,NE,125,100,Yes,225.0
190,13,Ravens,Steelers,Ravens,Steelers,BAL,BAL,-210,100,No,-100.0
191,13,Vikings,Lions,Vikings,Lions,MIN,MIN,-320,100,No,-100.0
192,13,Washington,Raiders,Raiders,Washington,LV,LV,-125,100,No,-100.0
193,14,49ers,Bengals,Bengals,49ers,CIN,CIN,105,100,No,-100.0
194,14,Bears,Packers,Packers,Packers,GB,GB,-680,100,Yes,114.70588235294117
195,14,Bills,Buccaneers,Buccaneers,Buccaneers,TB,TB,-170,100,Yes,158.8235294117647
196,14,Cowboys,Washington,Washington,Cowboys,WAS,WAS,175,100,No,-100.0
197,14,Falcons,Panthers,Falcons,Falcons,ATL,ATL,120,100,Yes,220.0
198,14,Giants,Chargers,Chargers,Chargers,LAC,LAC,-460,100,Yes,121.73913043478261
199,14,Jaguars,Titans,Jaguars,Titans,JAX,JAX,345,100,No,-100.0
200,14,Lions,Broncos,Lions,Broncos,DET,DET,365,100,No,-100.0
201,14,Raiders,Chiefs,Chiefs,Chiefs,KC,KC,-450,100,Yes,122.22222222222223
202,14,Rams,Cardinals,Rams,Rams,LAR,LAR,115,100,Yes,215.0
203,14,Ravens,Browns,Ravens,Browns,BAL,BAL,125,100,No,-100.0
204,14,Saints,Jets,Saints,Saints,NO,NO,-235,100,Yes,142.5531914893617
205,14,Seahawks,Texans,Seahawks,Seahawks,SEA,SEA,-395,100,Yes,125.31645569620252
206,14,Steelers,Vikings,Steelers,Vikings,PIT,PIT,155,100,No,-100.0
207,15,Bengals,Broncos,Broncos,Bengals,DEN,DEN,-150,100,No,-100.0
208,15,Cardinals,Lions,Cardinals,Lions,ARI,ARI,-675,100,No,-100.0
